ぐらい	助詞,副助詞,*,*,*,*,ぐらい,グライ,グライ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
ところ	名詞,非自立,副詞可能,*,*,*,ところ,トコロ,トコロ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
住ん	動詞,自立,*,*,五段・マ行,連用タ接続,住む,スン,スン,s
で	助詞,接続助詞,*,*,*,*,で,デ,デ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
、	記号,読点,*,*,*,*,、,、,、,s
隣	名詞,一般,*,*,*,*,隣,トナリ,トナリ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
、	記号,読点,*,*,*,*,、,、,、,s
両隣	名詞,一般,*,*,*,*,両隣,リョウドナリ,リョードナリ,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
二人	名詞,一般,*,*,*,*,二人,フタリ,フタリ,s
とも	助詞,副助詞,*,*,*,*,とも,トモ,トモ,s
、	記号,読点,*,*,*,*,、,、,、,s
偶然	名詞,形容動詞語幹,*,*,*,*,偶然,グウゼン,グーゼン,s
や	助動詞,*,*,*,特殊・ヤ,基本形,や,ヤ,ヤ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
九州	名詞,固有名詞,地域,一般,*,*,九州,キュウシュウ,キューシュー,s
出身	名詞,一般,*,*,*,*,出身,シュッシン,シュッシン,s
の	助詞,格助詞,一般,*,*,*,の,ノ,ノ,s
人	名詞,一般,*,*,*,*,人,ヒト,ヒト,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
片一方	名詞,一般,*,*,*,*,片一方,カタイッポウ,カタイッポー,s
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ,s
大分	名詞,固有名詞,一般,*,*,*,大分,オオイタ,オーイタ,s
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ,s
片一方	名詞,一般,*,*,*,*,片一方,カタイッポウ,カタイッポー,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
片一方	名詞,一般,*,*,*,*,片一方,カタイッポウ,カタイッポー,s
も	助詞,係助詞,*,*,*,*,も,モ,モ,s
大分	名詞,固有名詞,一般,*,*,*,大分,オオイタ,オーイタ,s
やっ	助動詞,*,*,*,特殊・ヤ,連用タ接続,や,ヤッ,ヤッ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,s
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,s
そんなん	名詞,一般,副詞可能,*,*,*,そんなん,ソンナン,ソンナン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
めっちゃ	副詞,一般,*,*,*,*,めっちゃ,メッチャ,メッチャ,i
話	名詞,サ変接続,*,*,*,*,話,ハナシ,ハナシ,i
変わる	動詞,自立,*,*,五段・ラ行,基本形,変わる,カワル,カワル,i
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,i
、	記号,読点,*,*,*,*,、,、,、,i
髪の毛	名詞,一般,*,*,*,*,髪の毛,カミノケ,カミノケ,i
染め	動詞,自立,*,*,一段,連用形,染める,ソメ,ソメ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
染め	動詞,自立,*,*,一段,連用形,染める,ソメ,ソメ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
ほんまに	副詞,一般,*,*,*,*,ほんまに,ホンマニ,ホンマニ,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
染め	動詞,自立,*,*,一段,連用形,染める,ソメ,ソメ,s
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,s
行か	動詞,自立,*,*,五段・カ行促音便,未然形,行く,イカ,イカ,s
な	助動詞,*,*,*,特殊・ナイ,仮定形・縮約形,な,ナ,ナ,s
あか	動詞,非自立,*,*,五段・カ行イ音便,未然形,あく,アカ,アカ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
行か	動詞,自立,*,*,五段・カ行促音便,未然形,行く,イカ,イカ,i
な	助動詞,*,*,*,特殊・ナイ,仮定形・縮約形,な,ナ,ナ,i
あか	動詞,非自立,*,*,五段・カ行イ音便,未然形,あく,アカ,アカ,i
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,i
よ	助詞,終助詞,*,*,*,*,よ,ヨ,ヨ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
明日	名詞,副詞可能,*,*,*,*,明日,アシタ,アシタ,s
行か	動詞,自立,*,*,五段・カ行促音便,未然形,行く,イカ,イカ,s
な	助動詞,*,*,*,特殊・ナイ,仮定形・縮約形,な,ナ,ナ,s
あか	動詞,非自立,*,*,五段・カ行イ音便,未然形,あく,アカ,アカ,s
ん	助動詞,*,*,*,特殊・ナイ,基本形,ん,ン,ン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
なんか	フィラー,*,*,*,*,*,なんか,ナンカ,ナンカ,i
染め	動詞,自立,*,*,一段,連用形,染める,ソメ,ソメ,i
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ,i
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,i
ん	名詞,非自立,一般,*,*,*,ん,ン,ン,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
な	助詞,終助詞,*,*,*,*,な,ナ,ナ,i
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
うん	感動詞,*,*,*,*,*,うん,ウン,ウン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
行っ	動詞,自立,*,*,五段・カ行促音便,連用タ接続,行く,イッ,イッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
ない	助動詞,*,*,*,特殊・ナイ,基本形,ない,ナイ,ナイ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
忙しい	形容詞,自立,*,*,形容詞・イ段,基本形,忙しい,イソガシイ,イソガシイ,i
ん	感動詞,*,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
忙しい	形容詞,自立,*,*,形容詞・イ段,基本形,忙しい,イソガシイ,イソガシイ,s
ねん	助詞,終助詞,*,*,*,*,ねん,ネン,ネン,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
中間	名詞,副詞可能,*,*,*,*,中間,チュウカン,チューカン,i
か	助詞,副助詞／並立助詞／終助詞,*,*,*,*,か,カ,カ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
中間	名詞,副詞可能,*,*,*,*,中間,チュウカン,チューカン,s
テスト	名詞,サ変接続,*,*,*,*,テスト,テスト,テスト,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
どういう	連体詞,*,*,*,*,*,どういう,ドウイウ,ドーユウ,i
基準	名詞,一般,*,*,*,*,基準,キジュン,キジュン,i
で	助詞,格助詞,一般,*,*,*,で,デ,デ,i
作っ	動詞,自立,*,*,五段・ラ行,連用タ接続,作る,ツクッ,ツクッ,i
て	助詞,接続助詞,*,*,*,*,て,テ,テ,i
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,i
ん	助詞,終助詞,*,*,*,*,ん,ン,ン,i
？	記号,一般,*,*,*,*,？,？,？,i
EOS
中間	名詞,副詞可能,*,*,*,*,中間,チュウカン,チューカン,i
テスト	名詞,サ変接続,*,*,*,*,テスト,テスト,テスト,i
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,i
。	記号,句点,*,*,*,*,。,。,。,i
EOS
中間	名詞,副詞可能,*,*,*,*,中間,チュウカン,チューカン,s
テスト	名詞,サ変接続,*,*,*,*,テスト,テスト,テスト,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
、	記号,読点,*,*,*,*,、,、,、,s
もう	副詞,一般,*,*,*,*,もう,モウ,モー,s
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
いけ	動詞,自立,*,*,一段,連用形,いける,イケ,イケ,s
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ,s
範囲	名詞,一般,*,*,*,*,範囲,ハンイ,ハンイ,s
まで	助詞,副助詞,*,*,*,*,まで,マデ,マデ,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
範囲	名詞,一般,*,*,*,*,範囲,ハンイ,ハンイ,s
わりと	副詞,一般,*,*,*,*,わりと,ワリト,ワリト,s
と	助詞,格助詞,一般,*,*,*,と,ト,ト,s
狭い	形容詞,自立,*,*,形容詞・アウオ段,基本形,狭い,セマイ,セマイ,s
けど	助詞,接続助詞,*,*,*,*,けど,ケド,ケド,s
。	記号,句点,*,*,*,*,。,。,。,s
EOS
だから	接続詞,*,*,*,*,*,だから,ダカラ,ダカラ,s
今	名詞,副詞可能,*,*,*,*,今,イマ,イマ,s
やっ	動詞,自立,*,*,五段・ラ行,連用タ接続,やる,ヤッ,ヤッ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
の	名詞,非自立,一般,*,*,*,の,ノ,ノ,s
は	助詞,係助詞,*,*,*,*,は,ハ,ワ,s
ラピッド	名詞,一般,*,*,*,*,ラピッド,ラピッド,ラピッド,s
リーディング	名詞,一般,*,*,*,*,リーディング,リーディング,リーディング,s
って	助詞,格助詞,引用,*,*,*,って,ッテ,ッテ,s
覚え	動詞,自立,*,*,一段,連用形,覚える,オボエ,オボエ,s
て	助詞,接続助詞,*,*,*,*,て,テ,テ,s
る	動詞,非自立,*,*,一段,基本形,る,ル,ル,s
？	記号,一般,*,*,*,*,？,？,？,s
EOS
