た,0,0,0,助動詞,*,*,*,特殊・タイ,連用テ接続・縮約形,たい,タ,タ
久し,1599,1599,5022,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,久しい,ヒサシ,ヒサシ
おっき,1584,1584,6742,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,おっきい,オッキ,オッキ
いとし,1599,1599,6760,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,いとしい,イトシ,イトシ
惜し,1599,1599,5022,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,惜しい,オシ,オシ
おとなし,1599,1599,6760,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,おとなしい,オトナシ,オトナシ
堅苦し,1599,1599,5022,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,堅苦しい,カタクルシ,カタクルシ
まず,1584,1584,8018,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,まずい,マズ,マズ
眠,1584,1584,5022,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,眠い,ネム,ネム
ねむ,1584,1584,6760,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,眠い,ネム,ネム
やわらか,1584,1584,6760,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,やわらかい,ヤワラカ,ヤワラカ
くるし,1599,1599,6760,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,くるしい,クルシ,クルシ
ちっちゃ,1584,1584,6770,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,ちっちゃい,チッチャ,チッチャ
嬉し,1599,1599,5022,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,嬉しい,ウレシ,ウレシ
さみし,1599,1599,6760,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,さみしい,サミシ,サミシ
素晴らし,1599,1599,5023,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,素晴らしい,スバラシ,スバラシ
いかめし,1599,1599,6760,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,いかめしい,イカメシ,イカメシ
激し,1599,1599,5022,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,激しい,ハゲシ,ハゲシ
厚かまし,1599,1599,5022,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,厚かましい,アツカマシ,アツカマシ
わか,1584,1584,6703,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,わかい,ワカ,ワカ
おそ,1584,1584,6767,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,おそい,オソ,オソ
冷た,1584,1584,5025,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,冷たい,ツメタ,ツメタ
しぶ,1584,1584,6764,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,しぶい,シブ,シブ
おかし,1599,1599,6554,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,おかしい,オカシ,オカシ
ごつ,1584,1584,6760,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,ごつい,ゴツ,ゴツ
たのし,1599,1599,6843,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,たのしい,タノシ,タノシ
はや,1584,1584,6380,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,はやい,ハヤ,ハヤ
細かし,1599,1599,5022,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,細かしい,コマカシ,コマカシ
まずし,1599,1599,6760,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,まずしい,マズシ,マズシ
ちいさ,1584,1584,6760,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,ちいさい,チイサ,チーサ
っこ,1584,1584,6780,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,脂っこい,ヤニッコ,ヤニッコ
煩わし,1599,1599,5022,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,煩わしい,ワズラワシ,ワズラワシ
いやし,1599,1599,6760,形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,いやしい,イヤシ,イヤシ
くさ,1584,1584,6762,形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,くさい,クサ,クサ
