word	count
当てる	8
住んとる	14
働いとる	4
残る	27
下がる	9
上がってくる	11
減ってる	6
下がってる	5
無くなる	8
仕入れる	3
取り上げる	2
増えてくる	6
集める	8
しよる	51
募る	1
教える	48
ありすぎる	3
植える	8
変わってる	37
教えてくれる	24
繋いてる	1
つこてはる	1
もろてる	3
まえる	1
つかってる	1
洗うてる	2
言うてくれる	10
食べていける	2
回ってくる	6
来てやる	3
起きてる	7
負ける	22
飲んでる	18
思てる	31
手つどうてる	1
澄んでる	2
伸びてる	3
おいてある	2
戻る	23
わかれる	1
乗ってくる	7
渡る	6
乗れる	25
乗ったる	1
買うとる	3
飛んでくれる	1
落ちてる	8
建てる	8
いっとる	11
かける	39
減る	12
助かる	9
行ったる	3
言いよる	19
出会ってみる	1
知り合ってる	1
育ってる	4
やってくれる	15
教えてあげる	3
話している	1
まとめてる	1
預かってる	2
起きる	12
回る	42
働ける	5
せてもらえる	1
就けてる	2
集まってる	9
ついて行ってる	1
喋りかける	2
貯まる	2
食べ続ける	1
おくる	2
持って回る	1
通りくる	1
遅れてる	2
守る	10
やってくる	4
撮る	17
分かれてる	9
抜けてる	4
行かはる	11
見てくれる	5
暮らしてる	8
もらえる	39
当たる	33
生んでる	1
あげれる	1
答える	10
怒ってる	11
過ぎる	9
見えてくる	4
引き抜いてくる	1
言ってくれる	15
うつる	7
しゃべってる	9
帰れる	25
働いてくれる	1
熟れる	1
揚げてる	1
泊めてもらえる	2
つくる	14
儲かる	16
買ってくれる	10
慣れる	18
飛べる	2
生かせる	1
負けてる	12
行っている	1
極めている	1
やっとる	79
やられとる	2
れとる	24
きとる	12
言うとる	34
吊る	4
止まる	39
でてくる	6
行き過ぎる	2
入っとる	24
延びる	2
よじ登る	1
よじ登れる	1
さされる	3
載る	6
残っとる	13
わかれとる	1
出とる	18
甘えとる	2
いうてる	6
落ちとる	3
亡くなってる	9
思わはる	2
笑てる	2
落ちる	20
おちる	2
間違ってる	6
早める	1
称える	1
つこてる	6
いってやる	1
ハマってる	7
くれはる	27
まくってる	4
でる	14
着る	16
こる	2
触れる	8
撮ってくれる	2
多すぎる	2
進んでる	5
付ける	10
使いはる	2
並んでる	18
ける	1
着いてくる	1
運んでくる	2
忘れる	16
着せれる	1
見張ってる	1
ゆうてる	39
貸してくれる	4
凝る	2
移してる	1
立ててる	2
買ってる	17
扱ってる	4
焦る	3
勤めてる	9
行ってやる	3
しめてる	1
観れる	3
はまってる	18
混んてる	1
組んでくれる	1
含まれてる	1
ゆうてくれる	4
存じている	1
鍛える	2
生きる	13
告げる	1
出回る	1
釣れる	10
語りかける	2
してもらえる	9
運んどる	1
集めてくる	2
れている	5
耐えれる	4
とってくれる	3
着けとる	1
休みなる	3
なぐる	1
生まれ変わる	1
笑われる	6
釣る	17
信じとる	1
吠える	7
散らばってる	1
ついていける	2
座ってはる	2
ささってる	1
言うたる	1
通っとる	4
行きよる	21
わかっとる	9
住んどる	1
こたえてる	1
送ってくれる	2
帰りよる	4
走りよる	1
乗っていける	2
違ってくる	4
食いよる	4
うっとる	1
打っとる	2
決まっとる	12
立ち止まれる	2
決まってる	37
守ってもらえる	1
思っとる	19
触ってる	3
焼いとる	1
買うてくる	1
いれる	9
待っとる	10
うろたえる	3
持っとる	19
炒る	1
探しよる	1
覚えとる	16
心がけとる	2
助けてあげる	3
させてあげる	1
し過ぎる	1
荒すぎる	1
黙っとる	1
できあがっとる	1
ころがりこんとる	1
たっとる	2
憧れる	11
入れてくれる	2
立てる	4
乾いとる	1
むかついとる	1
きまっとる	1
喋っとる	11
お金かかる	1
読んでいる	1
あいてる	1
持ち帰る	1
短すぎる	1
きはる	13
絞る	3
絞れる	1
荒れる	2
ときある	1
関わっている	1
出来てる	8
繋がる	8
隠れている	2
見つけてる	1
聞こえてくる	10
掛かる	3
乗っている	1
つける	18
追い詰める	1
生まれてる	7
貼る	4
稼げる	5
亡くなる	10
見届ける	1
によって来る	1
送り届ける	2
盛り上がる	13
投げる	6
歌ってる	13
喜びはる	1
踊る	21
こける	4
進める	4
閉じこもっている	1
断る	5
嫌いある	1
話しかける	2
示してる	1
通る	35
かわる	1
混んでる	6
戻れる	2
衰えてる	1
終わらせる	1
履いてる	10
つけてる	9
甘えてる	1
うまれてる	1
取り入れる	1
おもてる	4
たてる	2
もうてる	16
うける	2
はえてる	1
ひる	1
あってる	5
とまってる	2
たててる	1
できてくる	3
つくれる	2
かえる	5
出してる	12
習てる	1
おもうてる	2
むいてる	1
数える	5
はいる	7
たのしめる	1
ずる	1
つくってる	2
つぶれとる	1
立ってる	12
越える	2
たべる	3
はしってる	1
付いてくれる	1
きる	3
しってる	2
たのしんでる	2
座る	8
はいってる	3
くだける	1
いてはる	3
ゆったげる	1
かかってる	11
避けれる	1
集めてはる	2
聞かしてる	1
のってる	9
いけるいける	1
歩いてる	7
降りてる	1
なめてる	10
降りる	10
かれる	1
起こしてる	2
吐いてる	3
のる	6
こげる	1
死する	2
決してる	1
疲れる	24
振る	7
売り切れる	3
休める	7
買ってくる	7
卸してる	1
卸してくる	1
破れてる	1
きよる	17
送ってる	1
見落としてる	1
通してる	2
投げてる	5
戻ってくる	6
そらしてる	1
居てる	22
絶する	1
ぶつかる	6
考えとる	3
連れてくる	3
丸まる	1
潤ってくる	1
稼いでいる	1
限りやる	1
捨てれる	2
組める	1
乗っとる	11
持ってくる	13
走っとる	5
思とる	14
積める	1
止める	5
つことる	1
稼いとる	3
上げる	7
貯めれる	1
おわっとる	1
困っとる	2
怒鳴り込んでくる	1
まわしとる	1
作ってくれる	9
もうとる	6
なくなっとる	5
座っとる	4
埋め合わせる	1
恵まれとる	3
借りてる	3
泣ける	4
頑張る	20
助かってる	1
染めてる	5
建ってる	7
はりつける	1
話してくる	1
似合ってる	2
ぼやいてる	1
振ってくる	1
目覚める	4
付けてる	4
勤める	4
引っぱってくださる	1
注いでる	1
傷つける	2
もよる	1
泣いてやる	2
押してくる	2
食べやる	1
くれやる	1
行きはる	2
頑張ってはる	3
やってやる	2
知ってはる	6
してやる	7
行ってくる	11
知れてる	5
いてやる	2
きめやる	1
きてはる	6
しやる	3
言いやる	2
伝わる	7
派手すぎる	1
慕ってくる	1
洒落てる	2
入り込んてる	1
流れる	10
尽くしてる	1
遊べる	13
擦る	1
乗っかる	1
降る	8
上る	1
いじってる	6
止まってくれる	1
いじる	7
無くなってくる	1
ズレとる	1
したる	5
衰えとる	1
無くなってる	2
出払ってる	1
休んとる	1
座ってる	9
楽しみよる	1
喋ってくれる	4
尽きる	1
観とる	1
帯びとる	1
みてとる	1
流行っとる	2
裏切る	2
間違っとる	1
生きとる	6
触っとる	1
遊んとる	5
こもる	1
追っかけとる	1
教えよる	1
こもっとる	1
泊まる	27
つけとる	2
うたってる	1
こまる	2
もめてる	3
分けてる	4
すわる	1
喋り始める	1
載せる	3
載っかる	1
載せてる	2
会える	22
申し込んでる	2
起こる	8
溜まってる	5
申し込んてる	1
ちゃってる	11
とってあげる	3
映る	2
といてあげる	4
映ってる	8
撮れる	2
かかわる	1
ほる	6
泊る	4
倒れる	4
やってはる	17
替える	7
干してる	2
生えてる	3
植えてる	1
泊まってる	3
かぶってる	5
ぶら下げてる	1
儲かってる	3
追っかけれる	1
重なる	2
やっていける	12
かけてる	15
教えてもらえる	4
教えてはる	5
貰ってはる	1
恵まれてる	5
接してる	4
持ち始める	1
さしてあげる	2
手伝ってくれる	3
生んではる	1
作れる	17
入っている	1
貰えてはる	1
保ってる	1
優れてる	1
支えてくれる	1
言ってはる	3
考えてはる	1
いきはる	4
しいる	1
いとる	5
得れる	2
入れとる	4
使い分けてる	1
流れとる	2
亡くなっとる	1
聞かしてくれる	1
分かってはる	1
切り捨てる	2
みえる	1
損する	5
ありうる	2
くたばる	1
合うとる	3
思うとる	3
言うてやる	4
勝ったる	1
切る	35
