word phrase	count
やってる かも/助詞	1
思ってる より/助詞	2
入ってる ./記号	13
経っとる わけ/名詞	1
生まれる ちょっと/副詞	1
する する/動詞	8
帰る ./記号	15
来てる 奴/名詞	1
おる わ/助詞	15
思ってる ./記号	36
貰える ね/名詞	1
する ん/助詞	21
思ってる な/助詞	5
ある ん/助詞	24
言ってくる よう/名詞	1
れる の/名詞	26
怒る の/名詞	2
なってる から/助詞	28
考えてる の/助詞	4
住んでる 大人/名詞	1
決めてる し/助詞	1
喋る ぐらい/助詞	1
知ってる ./.	1
覚えてる ん/名詞	4
忘れてる か/助詞	1
忘れてる ぐらい/助詞	2
作る やろ/助動詞	2
行ってる 過程/名詞	1
作ってる 作っ/動詞	1
作ってる ./記号	9
やってる やっ/助動詞	2
入れる 感じ/名詞	1
決めてる から/助詞	3
終わってる やろ/助動詞	5
思ってる けど/助詞	22
観る 派/名詞	1
決める な/助詞	1
としてる ./記号	2
読んでる ./記号	4
れてる 感じ/名詞	3
見る 人/名詞	7
ある やつ/名詞	20
貰える ん/名詞	2
なる の/名詞	30
なる から/助詞	111
してる けど/助詞	47
寝てる 時/名詞	4
みる 方/名詞	1
みる な/助詞	1
遊んでる 夢/名詞	1
みる ./記号	1
ある とか/助詞	15
選手見る とか/助詞	1
できる やろ/助動詞	7
住んでる とこ/名詞	8
離れる の/名詞	2
離れる もん/名詞	1
思ってる し/助詞	6
食える わけ/名詞	1
する いう/動詞	14
取る ん/名詞	5
入れる ./記号	7
やってる な/助詞	7
買える もん/名詞	2
なる もん/助詞	8
分かる やん/助動詞	12
寝てる だけ/助詞	3
かかる やん/助動詞	14
する 気/名詞	14
おる 時/名詞	10
飼ってる だけ/助詞	1
行ける ねん/助詞	7
とってくる ねん/助詞	1
おる 猫/名詞	1
きてる から/助詞	17
おる おる/動詞	16
おる な/助詞	17
あげてる ねん/助詞	1
おる の/名詞	8
してる だけ/助詞	4
過ごしてる らしい/助動詞	1
ある わ/助詞	104
ある ある/動詞	81
鳴る ん/助詞	1
病んでる やん/助動詞	1
病んでる ん/助詞	1
れてる みたい/名詞	5
れる か/助詞	22
やってる こと/名詞	8
れる もん/助詞	7
指してる か/助詞	1
やってる し/助詞	11
やってる 時/名詞	3
してる ん/助詞	4
知ってる と/助詞	6
れる 側/名詞	2
する 側/名詞	5
覚えてる の/名詞	11
置いてる やん/助動詞	2
られる よう/名詞	5
覚えてる ねん/助詞	15
覚えてる わ/助詞	26
入る ん/助詞	2
膨れてる ./記号	1
見る な/助詞	6
おる やろ/助動詞	19
とれる 自信/名詞	1
いる ん/名詞	20
まわってる な/助詞	1
られる やん/助動詞	1
してはる な/助詞	5
要る ん/助詞	1
できる って/助詞	16
できる わけ/名詞	7
暮らせる ん/助詞	1
ある なら/名詞	3
ある よう/名詞	27
住んてる の/助詞	2
ある でしょ/助動詞	23
いる で/助詞	2
あがってくる でしょ/助動詞	1
似てる と/助詞	3
生きてる 世界/名詞	3
いる ね/名詞	2
来てる わけ/名詞	3
喋ってる けど/助詞	2
できる よ/助詞	4
喋る よう/名詞	11
しゃべる ./記号	1
喋る やん/助動詞	3
知ってる ./記号	87
知ってる とおり/名詞	1
