おり	動詞,非自立,*,*,五段・ラ行,連用形,おる,オリ,オリ
おれ	動詞,非自立,*,*,五段・ラ行,仮定形,おる,オリ,オリ
おろ	動詞,非自立,*,*,五段・ラ行,命令ｒｏ,おる,オロ,オロ
おん	動詞,非自立,*,*,五段・ラ行撥音便,基本形,おる,オン,オン
はら	動詞,非自立,*,*,五段・ラ行,未然形,はる,ハラ,ハラ
はり	動詞,非自立,*,*,五段・ラ行,連用形,はる,ハリ,ハリ
はっ	動詞,非自立,*,*,五段・ラ行,連用タ接続,はる,ハッ,ハッ
はる	動詞,非自立,*,*,五段・ラ行,基本形,はる,ハル,ハル
はれ	動詞,非自立,*,*,五段・ラ行,仮定形,はる,ハレ,ハレ
はろ	動詞,非自立,*,*,五段・ラ行,未然ウ接続,はる,ハロ,ハロ
はん	動詞,非自立,*,*,五段・ラ行撥音便,基本形,はる,ハン,ハン
やはら	動詞,非自立,*,*,五段・ラ行,未然形,はる＋や挿入,ヤハラ,ヤハラ
やはり	動詞,非自立,*,*,五段・ラ行,連用形,はる＋や挿入,ヤハリ,ヤハリ
やはっ	動詞,非自立,*,*,五段・ラ行,連用タ接続,はる＋や挿入,ヤハッ,ヤハッ
やはる	動詞,非自立,*,*,五段・ラ行,基本形,はる＋や挿入,ヤハル,ヤハル
やはれ	動詞,非自立,*,*,五段・ラ行,仮定形,はる＋や挿入,ヤハレ,ヤハレ
やはろ	動詞,非自立,*,*,五段・ラ行,未然ウ接続,はる＋や挿入,ヤハロ,ヤハロ
やはん	動詞,非自立,*,*,五段・ラ行撥音便,基本形,はる＋や挿入,ヤハン,ヤハン
やはら	動詞,自立,*,*,五段・ラ行,未然形,居＋はる＋や挿入・縮約形,ヤハラ,ヤハラ
やはり	動詞,自立,*,*,五段・ラ行,連用形,居＋はる＋や挿入・縮約形,ヤハリ,ヤハリ
やはっ	動詞,自立,*,*,五段・ラ行,連用タ接続,居＋はる＋や挿入・縮約形,ヤハッ,ヤハッ
やはる	動詞,自立,*,*,五段・ラ行,基本形,居＋はる＋や挿入・縮約形,ヤハル,ヤハル
やはれ	動詞,自立,*,*,五段・ラ行,仮定形,居＋はる＋や挿入・縮約形,ヤハレ,ヤハレ
やはろ	動詞,自立,*,*,五段・ラ行,未然ウ接続,居＋はる＋や挿入・縮約形,ヤハロ,ヤハロ
やはん	動詞,自立,*,*,五段・ラ行撥音便,基本形,居＋はる＋や挿入・縮約形,ヤハン,ヤハン
たはら	動詞,非自立,*,*,五段・ラ行,未然形,た＋はる,タハラ,タハラ
たはり	動詞,非自立,*,*,五段・ラ行,連用形,た＋はる,タハリ,タハリ
たはっ	動詞,非自立,*,*,五段・ラ行,連用形,た＋はる,タハッ,タハッ
たはる	動詞,非自立,*,*,五段・ラ行,基本形,た＋はる,タハル,タハル
たはれ	動詞,非自立,*,*,五段・ラ行,仮定形,た＋はる,タハレ,タハレ
たはろ	動詞,非自立,*,*,五段・ラ行,未然ウ接続,た＋はる,タハロ,タハロ
たはん	動詞,非自立,*,*,五段・ラ行撥音便,基本形,た＋はる,タハン,タハン
だはら	動詞,非自立,*,*,五段・ラ行,未然形,た＋はる,ダハラ,ダハラ
だはり	動詞,非自立,*,*,五段・ラ行,連用形,た＋はる,ダハリ,ダハリ
だはっ	動詞,非自立,*,*,五段・ラ行,連用形,た＋はる,ダハッ,ダハッ
だはる	動詞,非自立,*,*,五段・ラ行,基本形,た＋はる,ダハル,ダハル
だはれ	動詞,非自立,*,*,五段・ラ行,仮定形,た＋はる,ダハレ,ダハレ
だはろ	動詞,非自立,*,*,五段・ラ行,未然ウ接続,た＋はる,ダハロ,ダハロ
だはん	動詞,非自立,*,*,五段・ラ行撥音便,基本形,た＋はる,ダハン,ダハン
まう	動詞,非自立,*,*,五段・ワ行促音便,基本形・縮約形,しまう,マウ,マウ
まわ	動詞,非自立,*,*,五段・ワ行促音便,未然形・縮約形,しまう,マワ,マワ
まお	動詞,非自立,*,*,五段・ワ行促音便,未然ウ接続・縮約形,しまう,マオ,マオ
まい	動詞,非自立,*,*,五段・ワ行促音便,連用形・縮約形,しまう,マイ,マイ
まい	動詞,非自立,*,*,五段・ワ行促音便,命令k・縮約形,しまう,マイ,マイ
まっ	動詞,非自立,*,*,五段・ワ行促音便,連用タ接続・縮約形,しまう,マッ,マッ
まえ	動詞,非自立,*,*,五段・ワ行促音便,仮定形・縮約形,しまう,マエ,マエ
