やかまし	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,やかましい,ヤカマシ,ヤカマシ
うるさ	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,うるさい,ウルサ,ウルサ
ちっちゃ	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,ちっちゃい,チッチャ,チッチャ
おいし	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,おいしい,オイシ,オイシ
うらやまし	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,うらやましい,ウラヤマシ,ウラヤマシ
忙し	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,忙しい,イソガシ,イソガシ
あったか	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,あったかい,アッタカ,アッタカ
うれし	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,うれしい,ウレシ,ウレシ
めんど	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,めんどい,メンド,メンド
楽し	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,楽しい,タノシ,タノシ
みじか	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,みじかい,ミジカ,ミジカ
ほし	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,ほしい,ホシ,ホシ
わる	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,わるい,ワル,ワル
久し	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,久しい,ヒサシ,ヒサシ
おっき	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,おっきい,オッキ,オッキ
いとし	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,いとしい,イトシ,イトシ
惜し	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,惜しい,オシ,オシ
おとなし	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,おとなしい,オトナシ,オトナシ
堅苦し	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,堅苦しい,カタクルシ,カタクルシ
まず	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,まずい,マズ,マズ
眠	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,眠い,ネム,ネム
ねむ	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,眠い,ネム,ネム
やわらか	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,やわらかい,ヤワラカ,ヤワラカ
くるし	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,くるしい,クルシ,クルシ
ちっちゃ	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,ちっちゃい,チッチャ,チッチャ
嬉し	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,嬉しい,ウレシ,ウレシ
さみし	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,さみしい,サミシ,サミシ
素晴らし	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,素晴らしい,スバラシ,スバラシ
いかめし	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,いかめしい,イカメシ,イカメシ
激し	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,激しい,ハゲシ,ハゲシ
厚かまし	形容詞,自立,*,*,形容詞・イ段,連用テ接続・縮約形,厚かましい,アツカマシ,アツカマシ
わか	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,わかい,ワカ,ワカ
おそ	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,おそい,オソ,オソ
冷た	形容詞,自立,*,*,形容詞・アウオ段,連用テ接続・縮約形,冷たい,ツメタ,ツメタ
