られや	動詞,接尾,*,*,一段,未然形・や挿入,られる,ラレヤ,ラレヤ
はかれや	動詞,自立,*,*,一段,未然形・や挿入,はかれる,ハカレヤ,ハカレヤ
光らせや	動詞,自立,*,*,一段,未然形・や挿入,光らせる,ヒカラセヤ,ヒカラセヤ
挫けや	動詞,自立,*,*,一段,未然形・や挿入,挫ける,クジケヤ,クジケヤ
ぶんなげや	動詞,自立,*,*,一段,未然形・や挿入,ぶんなげる,ブンナゲヤ,ブンナゲヤ
うろたえや	動詞,自立,*,*,一段,未然形・や挿入,うろたえる,ウロタエヤ,ウロタエヤ
燃えや	動詞,自立,*,*,一段,未然形・や挿入,燃える,モエヤ,モエヤ
こぼれおちや	動詞,自立,*,*,一段,未然形・や挿入,こぼれおちる,コボレオチヤ,コボレオチヤ
痛め付けや	動詞,自立,*,*,一段,未然形・や挿入,痛め付ける,イタメツケヤ,イタメツケヤ
疑えや	動詞,自立,*,*,一段,未然形・や挿入,疑える,ウタガエヤ,ウタガエヤ
うばえや	動詞,自立,*,*,一段,未然形・や挿入,うばえる,ウバエヤ,ウバエヤ
願い出や	動詞,自立,*,*,一段,未然形・や挿入,願い出る,ネガイデヤ,ネガイデヤ
落ち延びや	動詞,自立,*,*,一段,未然形・や挿入,落ち延びる,オチノビヤ,オチノビヤ
辱めや	動詞,自立,*,*,一段,未然形・や挿入,辱める,ハズカシメヤ,ハズカシメヤ
おったてや	動詞,自立,*,*,一段,未然形・や挿入,おったてる,オッタテヤ,オッタテヤ
呼び止めや	動詞,自立,*,*,一段,未然形・や挿入,呼び止める,ヨビトメヤ,ヨビトメヤ
轟かせや	動詞,自立,*,*,一段,未然形・や挿入,轟かせる,トドロカセヤ,トドロカセヤ
仰けや	動詞,自立,*,*,一段,未然形・や挿入,仰ける,アオノケヤ,アオノケヤ
かかえや	動詞,自立,*,*,一段,未然形・や挿入,かかえる,カカエヤ,カカエヤ
いちづけや	動詞,自立,*,*,一段,未然形・や挿入,いちづける,イチヅケヤ,イチヅケヤ
仕込めや	動詞,自立,*,*,一段,未然形・や挿入,仕込める,シコメヤ,シコメヤ
くいこめや	動詞,自立,*,*,一段,未然形・や挿入,くいこめる,クイコメヤ,クイコメヤ
あつかえや	動詞,自立,*,*,一段,未然形・や挿入,あつかえる,アツカエヤ,アツカエヤ
まるめや	動詞,自立,*,*,一段,未然形・や挿入,まるめる,マルメヤ,マルメヤ
しびれや	動詞,自立,*,*,一段,未然形・や挿入,しびれる,シビレヤ,シビレヤ
はみ出や	動詞,自立,*,*,一段,未然形・や挿入,はみ出る,ハミデヤ,ハミデヤ
