られや	動詞,接尾,*,*,一段,未然形・や挿入,られる,ラレヤ,ラレヤ
のぞきこめや	動詞,自立,*,*,一段,未然形・や挿入,のぞきこめる,ノゾキコメヤ,ノゾキコメヤ
はぐれや	動詞,自立,*,*,一段,未然形・や挿入,はぐれる,ハグレヤ,ハグレヤ
グレや	動詞,自立,*,*,一段,未然形・や挿入,グレる,グレヤ,グレヤ
ただせや	動詞,自立,*,*,一段,未然形・や挿入,ただせる,タダセヤ,タダセヤ
それや	動詞,自立,*,*,一段,未然形・や挿入,それる,ソレヤ,ソレヤ
買入れや	動詞,自立,*,*,一段,未然形・や挿入,買入れる,カイイレヤ,カイイレヤ
買い換えや	動詞,自立,*,*,一段,未然形・や挿入,買い換える,カイカエヤ,カイカエヤ
嗅ぎつけや	動詞,自立,*,*,一段,未然形・や挿入,嗅ぎつける,カギツケヤ,カギツケヤ
えや	動詞,自立,*,*,一段,未然形・や挿入,える,エヤ,エヤ
摩り替えや	動詞,自立,*,*,一段,未然形・や挿入,摩り替える,スリカエヤ,スリカエヤ
かけ合せや	動詞,自立,*,*,一段,未然形・や挿入,かけ合せる,カケアワセヤ,カケアワセヤ
言い出せや	動詞,自立,*,*,一段,未然形・や挿入,言い出せる,イイダセ,イーダセヤ
懸け離れや	動詞,自立,*,*,一段,未然形・や挿入,懸け離れる,カケハナレヤ,カケハナレヤ
選び出せや	動詞,自立,*,*,一段,未然形・や挿入,選び出せる,エラビダセヤ,エラビダセヤ
近付けや	動詞,自立,*,*,一段,未然形・や挿入,近付ける,チカヅケヤ,チカヅケヤ
やれや	動詞,自立,*,*,一段,未然形・や挿入,やれる,ヤレヤ,ヤレヤ
過ぎや	動詞,自立,*,*,一段,未然形・や挿入,過ぎる,スギヤ,スギヤ
めぐらせや	動詞,自立,*,*,一段,未然形・や挿入,めぐらせる,メグラセヤ,メグラセヤ
まちがえや	動詞,自立,*,*,一段,未然形・や挿入,まちがえる,マチガエヤ,マチガエヤ
ききながせや	動詞,自立,*,*,一段,未然形・や挿入,ききながせる,キキナガセヤ,キキナガセヤ
取り結べや	動詞,自立,*,*,一段,未然形・や挿入,取り結べる,トリムスベヤ,トリムスベヤ
かわせや	動詞,自立,*,*,一段,未然形・や挿入,かわせる,カワセヤ,カワセヤ
取り囲めや	動詞,自立,*,*,一段,未然形・や挿入,取り囲める,トリカコメヤ,トリカコメヤ
噴けや	動詞,自立,*,*,一段,未然形・や挿入,噴ける,ハケヤ,ハケヤ
もうしでや	動詞,自立,*,*,一段,未然形・や挿入,もうしでる,モウシデ,モーシデヤ
うまれおちや	動詞,自立,*,*,一段,未然形・や挿入,うまれおちる,ウマレオチヤ,ウマレオチヤ
見つめや	動詞,自立,*,*,一段,未然形・や挿入,見つめる,ミツメヤ,ミツメヤ
踏み切れや	動詞,自立,*,*,一段,未然形・や挿入,踏み切れる,フミキレヤ,フミキレヤ
よみかけや	動詞,自立,*,*,一段,未然形・や挿入,よみかける,ヨミカケヤ,ヨミカケヤ
うけや	動詞,自立,*,*,一段,未然形・や挿入,うける,ウケヤ,ウケヤ
始めや	動詞,非自立,*,*,一段,未然形・や挿入,始める,ハジメヤ,ハジメヤ
とりむすべや	動詞,自立,*,*,一段,未然形・や挿入,とりむすべる,トリムスベヤ,トリムスベヤ
転じや	動詞,自立,*,*,一段,未然形・や挿入,転じる,テンジヤ,テンジヤ
はけや	動詞,自立,*,*,一段,未然形・や挿入,はける,ハケヤ,ハケヤ
もたせや	動詞,自立,*,*,一段,未然形・や挿入,もたせる,モタセヤ,モタセヤ
聞き取れや	動詞,自立,*,*,一段,未然形・や挿入,聞き取れる,キキトレヤ,キキトレヤ
まえや	動詞,自立,*,*,一段,未然形・や挿入,まえる,マエヤ,マエヤ
待ちくたびれや	動詞,自立,*,*,一段,未然形・や挿入,待ちくたびれる,マチクタビレヤ,マチクタビレヤ
切り上げや	動詞,自立,*,*,一段,未然形・や挿入,切り上げる,キリアゲヤ,キリアゲヤ
はち切れや	動詞,自立,*,*,一段,未然形・や挿入,はち切れる,ハチキレヤ,ハチキレヤ
借り換えや	動詞,自立,*,*,一段,未然形・や挿入,借り換える,カリカエヤ,カリカエヤ
力尽きや	動詞,自立,*,*,一段,未然形・や挿入,力尽きる,チカラツキヤ,チカラツキヤ
みえや	動詞,自立,*,*,一段,未然形・や挿入,みえる,ミエヤ,ミエヤ
組み付けや	動詞,自立,*,*,一段,未然形・や挿入,組み付ける,クミツケヤ,クミツケヤ
せまれや	動詞,自立,*,*,一段,未然形・や挿入,せまれる,セマレヤ,セマレヤ
わき起これや	動詞,自立,*,*,一段,未然形・や挿入,わき起これる,ワキオコレヤ,ワキオコレヤ
焼けや	動詞,自立,*,*,一段,未然形・や挿入,焼ける,ヤケヤ,ヤケヤ
貢げや	動詞,自立,*,*,一段,未然形・や挿入,貢げる,ミツゲヤ,ミツゲヤ
かたづけや	動詞,自立,*,*,一段,未然形・や挿入,かたづける,カタヅケヤ,カタヅケヤ
たすけあえや	動詞,自立,*,*,一段,未然形・や挿入,たすけあえる,タスケアエヤ,タスケアエヤ
なげつけや	動詞,自立,*,*,一段,未然形・や挿入,なげつける,ナゲツケヤ,ナゲツケヤ
焙じや	動詞,自立,*,*,一段,未然形・や挿入,焙じる,ホウジ,ホージヤ
舞い降りや	動詞,自立,*,*,一段,未然形・や挿入,舞い降りる,マイオリヤ,マイオリヤ
やぶけや	動詞,自立,*,*,一段,未然形・や挿入,やぶける,ヤブケヤ,ヤブケヤ
病みほおけや	動詞,自立,*,*,一段,未然形・や挿入,病みほおける,ヤミホオケ,ヤミホーケヤ
はやし立てや	動詞,自立,*,*,一段,未然形・や挿入,はやし立てる,ハヤシタテヤ,ハヤシタテヤ
いきすぎや	動詞,自立,*,*,一段,未然形・や挿入,いきすぎる,イキスギヤ,イキスギヤ
腰かけや	動詞,自立,*,*,一段,未然形・や挿入,腰かける,コシカケヤ,コシカケヤ
ながめや	動詞,自立,*,*,一段,未然形・や挿入,ながめる,ナガメヤ,ナガメヤ
掘り下げや	動詞,自立,*,*,一段,未然形・や挿入,掘り下げる,ホリサゲヤ,ホリサゲヤ
そめなおせや	動詞,自立,*,*,一段,未然形・や挿入,そめなおせる,ソメナオセヤ,ソメナオセヤ
優れや	動詞,自立,*,*,一段,未然形・や挿入,優れる,スグレヤ,スグレヤ
築き上げや	動詞,自立,*,*,一段,未然形・や挿入,築き上げる,キズキアゲヤ,キズキアゲヤ
突き除けや	動詞,自立,*,*,一段,未然形・や挿入,突き除ける,ツキノケヤ,ツキノケヤ
とりかえや	動詞,自立,*,*,一段,未然形・や挿入,とりかえる,トリカエヤ,トリカエヤ
考へや	動詞,自立,*,*,一段,未然形・や挿入,考へる,カンガヘヤ,カンガヘヤ
洗い落とせや	動詞,自立,*,*,一段,未然形・や挿入,洗い落とせる,アライオトセヤ,アライオトセヤ
かちえや	動詞,自立,*,*,一段,未然形・や挿入,かちえる,カチエヤ,カチエヤ
いみづけや	動詞,自立,*,*,一段,未然形・や挿入,いみづける,イミヅケヤ,イミヅケヤ
巻き込めや	動詞,自立,*,*,一段,未然形・や挿入,巻き込める,マキコメヤ,マキコメヤ
引きずり込めや	動詞,自立,*,*,一段,未然形・や挿入,引きずり込める,ヒキズリコメヤ,ヒキズリコメヤ
報せや	動詞,自立,*,*,一段,未然形・や挿入,報せる,シラセヤ,シラセヤ
差しのべや	動詞,自立,*,*,一段,未然形・や挿入,差しのべる,サシノベヤ,サシノベヤ
積み上げや	動詞,自立,*,*,一段,未然形・や挿入,積み上げる,ツミアゲヤ,ツミアゲヤ
うらぶれや	動詞,自立,*,*,一段,未然形・や挿入,うらぶれる,ウラブレヤ,ウラブレヤ
うみだせや	動詞,自立,*,*,一段,未然形・や挿入,うみだせる,ウミダセヤ,ウミダセヤ
かずけや	動詞,自立,*,*,一段,未然形・や挿入,かずける,カズケヤ,カズケヤ
見おろせや	動詞,自立,*,*,一段,未然形・や挿入,見おろせる,ミオロセヤ,ミオロセヤ
繰入れや	動詞,自立,*,*,一段,未然形・や挿入,繰入れる,クリイレヤ,クリイレヤ
動機付けや	動詞,自立,*,*,一段,未然形・や挿入,動機付ける,ドウキズケ,ドーキズケヤ
喋れや	動詞,自立,*,*,一段,未然形・や挿入,喋れる,シャベレヤ,シャベレヤ
かきけせや	動詞,自立,*,*,一段,未然形・や挿入,かきけせる,カキケセヤ,カキケセヤ
聞きいれや	動詞,自立,*,*,一段,未然形・や挿入,聞きいれる,キキイレヤ,キキイレヤ
飛び出せや	動詞,自立,*,*,一段,未然形・や挿入,飛び出せる,トビダセヤ,トビダセヤ
おおせや	動詞,自立,*,*,一段,未然形・や挿入,おおせる,オオセ,オーセヤ
向かえや	動詞,自立,*,*,一段,未然形・や挿入,向かえる,ムカエヤ,ムカエヤ
振り上げや	動詞,自立,*,*,一段,未然形・や挿入,振り上げる,フリアゲヤ,フリアゲヤ
慰めや	動詞,自立,*,*,一段,未然形・や挿入,慰める,ナグサメヤ,ナグサメヤ
言いつけや	動詞,自立,*,*,一段,未然形・や挿入,言いつける,イイツケ,イーツケヤ
あびせや	動詞,自立,*,*,一段,未然形・や挿入,あびせる,アビセヤ,アビセヤ
誘えや	動詞,自立,*,*,一段,未然形・や挿入,誘える,サソエヤ,サソエヤ
呼び上げや	動詞,自立,*,*,一段,未然形・や挿入,呼び上げる,ヨビアゲヤ,ヨビアゲヤ
擦切れや	動詞,自立,*,*,一段,未然形・や挿入,擦切れる,スリキレヤ,スリキレヤ
せりあげや	動詞,自立,*,*,一段,未然形・や挿入,せりあげる,セリアゲヤ,セリアゲヤ
仕組めや	動詞,自立,*,*,一段,未然形・や挿入,仕組める,シクメヤ,シクメヤ
読み合わせや	動詞,自立,*,*,一段,未然形・や挿入,読み合わせる,ヨミアワセヤ,ヨミアワセヤ
たたきつけや	動詞,自立,*,*,一段,未然形・や挿入,たたきつける,タタキツケヤ,タタキツケヤ
ささくれや	動詞,自立,*,*,一段,未然形・や挿入,ささくれる,ササクレヤ,ササクレヤ
繰りかえや	動詞,自立,*,*,一段,未然形・や挿入,繰りかえる,クリカエヤ,クリカエヤ
おしはかれや	動詞,自立,*,*,一段,未然形・や挿入,おしはかれる,オシハカレヤ,オシハカレヤ
曵けや	動詞,自立,*,*,一段,未然形・や挿入,曵ける,ヒケヤ,ヒケヤ
忍ばせや	動詞,自立,*,*,一段,未然形・や挿入,忍ばせる,シノバセヤ,シノバセヤ
隣合わせや	動詞,自立,*,*,一段,未然形・や挿入,隣合わせる,トナリアワセヤ,トナリアワセヤ
取り合せや	動詞,自立,*,*,一段,未然形・や挿入,取り合せる,トリアワセヤ,トリアワセヤ
組みかえや	動詞,自立,*,*,一段,未然形・や挿入,組みかえる,クミカエヤ,クミカエヤ
ゆうきづけや	動詞,自立,*,*,一段,未然形・や挿入,ゆうきづける,ユウキヅケ,ユーキズケヤ
取寄せや	動詞,自立,*,*,一段,未然形・や挿入,取寄せる,トリヨセヤ,トリヨセヤ
抜け出や	動詞,自立,*,*,一段,未然形・や挿入,抜け出る,ヌケデヤ,ヌケデヤ
引きつけや	動詞,自立,*,*,一段,未然形・や挿入,引きつける,ヒキツケヤ,ヒキツケヤ
錆びや	動詞,自立,*,*,一段,未然形・や挿入,錆びる,サビヤ,サビヤ
言いのがれや	動詞,自立,*,*,一段,未然形・や挿入,言いのがれる,イイノガレ,イーノガレヤ
繰り上げや	動詞,自立,*,*,一段,未然形・や挿入,繰り上げる,クリアゲヤ,クリアゲヤ
寝かし付けや	動詞,自立,*,*,一段,未然形・や挿入,寝かし付ける,ネカシツケヤ,ネカシツケヤ
につけや	動詞,自立,*,*,一段,未然形・や挿入,につける,ニツケヤ,ニツケヤ
沈めや	動詞,自立,*,*,一段,未然形・や挿入,沈める,シズメヤ,シズメヤ
やけだされや	動詞,自立,*,*,一段,未然形・や挿入,やけだされる,ヤケダサレヤ,ヤケダサレヤ
取り組めや	動詞,自立,*,*,一段,未然形・や挿入,取り組める,トリクメヤ,トリクメヤ
いれや	動詞,自立,*,*,一段,未然形・や挿入,いれる,イレヤ,イレヤ
諳んじや	動詞,自立,*,*,一段,未然形・や挿入,諳んじる,ソランジヤ,ソランジヤ
引き抜けや	動詞,自立,*,*,一段,未然形・や挿入,引き抜ける,ヒキヌケヤ,ヒキヌケヤ
養えや	動詞,自立,*,*,一段,未然形・や挿入,養える,ヤシナエヤ,ヤシナエヤ
準じや	動詞,自立,*,*,一段,未然形・や挿入,準じる,ジュンジヤ,ジュンジヤ
治めや	動詞,自立,*,*,一段,未然形・や挿入,治める,オサメヤ,オサメヤ
泣き崩れや	動詞,自立,*,*,一段,未然形・や挿入,泣き崩れる,ナキクズレヤ,ナキクズレヤ
充てや	動詞,自立,*,*,一段,未然形・や挿入,充てる,アテヤ,アテヤ
拭えや	動詞,自立,*,*,一段,未然形・や挿入,拭える,ヌグエヤ,ヌグエヤ
ひきもどせや	動詞,自立,*,*,一段,未然形・や挿入,ひきもどせる,ヒキモドセヤ,ヒキモドセヤ
呼び寄せや	動詞,自立,*,*,一段,未然形・や挿入,呼び寄せる,ヨビヨセヤ,ヨビヨセヤ
ほほ笑みかけや	動詞,自立,*,*,一段,未然形・や挿入,ほほ笑みかける,ホホエミカケヤ,ホホエミカケヤ
飲めや	動詞,自立,*,*,一段,未然形・や挿入,飲める,ノメヤ,ノメヤ
むかいあわせや	動詞,自立,*,*,一段,未然形・や挿入,むかいあわせる,ムカイアワセヤ,ムカイアワセヤ
ふまえや	動詞,自立,*,*,一段,未然形・や挿入,ふまえる,フマエヤ,フマエヤ
はむかえや	動詞,自立,*,*,一段,未然形・や挿入,はむかえる,ハムカエヤ,ハムカエヤ
空とぼけや	動詞,自立,*,*,一段,未然形・や挿入,空とぼける,ソラトボケヤ,ソラトボケヤ
書換えや	動詞,自立,*,*,一段,未然形・や挿入,書換える,カキカエヤ,カキカエヤ
ひっぱれや	動詞,自立,*,*,一段,未然形・や挿入,ひっぱれる,ヒッパレヤ,ヒッパレヤ
脱がせや	動詞,自立,*,*,一段,未然形・や挿入,脱がせる,ヌガセヤ,ヌガセヤ
入替えや	動詞,自立,*,*,一段,未然形・や挿入,入替える,イレカエヤ,イレカエヤ
積み込めや	動詞,自立,*,*,一段,未然形・や挿入,積み込める,ツミコメヤ,ツミコメヤ
歌い上げや	動詞,自立,*,*,一段,未然形・や挿入,歌い上げる,ウタイアゲヤ,ウタイアゲヤ
見掛けや	動詞,自立,*,*,一段,未然形・や挿入,見掛ける,ミカケヤ,ミカケヤ
為遂げや	動詞,自立,*,*,一段,未然形・や挿入,為遂げる,シトゲヤ,シトゲヤ
うちたおせや	動詞,自立,*,*,一段,未然形・や挿入,うちたおせる,ウチタオセヤ,ウチタオセヤ
精出せや	動詞,自立,*,*,一段,未然形・や挿入,精出せる,セイダセヤ,セイダセヤ
射掛けや	動詞,自立,*,*,一段,未然形・や挿入,射掛ける,イカケヤ,イカケヤ
ちりはてや	動詞,自立,*,*,一段,未然形・や挿入,ちりはてる,チリハテヤ,チリハテヤ
ときふせや	動詞,自立,*,*,一段,未然形・や挿入,ときふせる,トキフセヤ,トキフセヤ
妨げや	動詞,自立,*,*,一段,未然形・や挿入,妨げる,サマタゲヤ,サマタゲヤ
唱えや	動詞,自立,*,*,一段,未然形・や挿入,唱える,トナエヤ,トナエヤ
ねじむけや	動詞,自立,*,*,一段,未然形・や挿入,ねじむける,ネジムケヤ,ネジムケヤ
はぶけや	動詞,自立,*,*,一段,未然形・や挿入,はぶける,ハブケヤ,ハブケヤ
ききほれや	動詞,自立,*,*,一段,未然形・や挿入,ききほれる,キキホレヤ,キキホレヤ
掘り返せや	動詞,自立,*,*,一段,未然形・や挿入,掘り返せる,ホリカエセヤ,ホリカエセヤ
咳きあげや	動詞,自立,*,*,一段,未然形・や挿入,咳きあげる,セキアゲヤ,セキアゲヤ
たいらげや	動詞,自立,*,*,一段,未然形・や挿入,たいらげる,タイラゲヤ,タイラゲヤ
見棄てや	動詞,自立,*,*,一段,未然形・や挿入,見棄てる,ミステヤ,ミステヤ
しかめや	動詞,自立,*,*,一段,未然形・や挿入,しかめる,シカメヤ,シカメヤ
とばせや	動詞,自立,*,*,一段,未然形・や挿入,とばせる,トバセヤ,トバセヤ
おしえや	動詞,自立,*,*,一段,未然形・や挿入,おしえる,オシエヤ,オシエヤ
上向けや	動詞,自立,*,*,一段,未然形・や挿入,上向ける,ウワムケヤ,ウワムケヤ
すくえや	動詞,自立,*,*,一段,未然形・や挿入,すくえる,スクエヤ,スクエヤ
爪立てや	動詞,自立,*,*,一段,未然形・や挿入,爪立てる,ツマダテヤ,ツマダテヤ
引き取れや	動詞,自立,*,*,一段,未然形・や挿入,引き取れる,ヒキトレヤ,ヒキトレヤ
うずめや	動詞,自立,*,*,一段,未然形・や挿入,うずめる,ウズメヤ,ウズメヤ
見据えや	動詞,自立,*,*,一段,未然形・や挿入,見据える,ミスエヤ,ミスエヤ
てなれや	動詞,自立,*,*,一段,未然形・や挿入,てなれる,テナレヤ,テナレヤ
おもんじや	動詞,自立,*,*,一段,未然形・や挿入,おもんじる,オモンジヤ,オモンジヤ
溢れや	動詞,自立,*,*,一段,未然形・や挿入,溢れる,アフレヤ,アフレヤ
溢れや	動詞,自立,*,*,一段,未然形・や挿入,溢れる,コボレヤ,コボレヤ
死に果てや	動詞,自立,*,*,一段,未然形・や挿入,死に果てる,シニハテヤ,シニハテヤ
書留めや	動詞,自立,*,*,一段,未然形・や挿入,書留める,カキトメヤ,カキトメヤ
覆せや	動詞,自立,*,*,一段,未然形・や挿入,覆せる,クツガエセヤ,クツガエセヤ
抜けでや	動詞,自立,*,*,一段,未然形・や挿入,抜けでる,ヌケデヤ,ヌケデヤ
すり抜けや	動詞,自立,*,*,一段,未然形・や挿入,すり抜ける,スリヌケヤ,スリヌケヤ
おきわすれや	動詞,自立,*,*,一段,未然形・や挿入,おきわすれる,オキワスレヤ,オキワスレヤ
折れ合えや	動詞,自立,*,*,一段,未然形・や挿入,折れ合える,オレアエヤ,オレアエヤ
禿げや	動詞,自立,*,*,一段,未然形・や挿入,禿げる,ハゲヤ,ハゲヤ
切りそろえや	動詞,自立,*,*,一段,未然形・や挿入,切りそろえる,キリソロエヤ,キリソロエヤ
立ち合えや	動詞,自立,*,*,一段,未然形・や挿入,立ち合える,タチアエヤ,タチアエヤ
踏み出せや	動詞,自立,*,*,一段,未然形・や挿入,踏み出せる,フミダセヤ,フミダセヤ
太れや	動詞,自立,*,*,一段,未然形・や挿入,太れる,フトレヤ,フトレヤ
まきあげや	動詞,自立,*,*,一段,未然形・や挿入,まきあげる,マキアゲヤ,マキアゲヤ
汲めや	動詞,自立,*,*,一段,未然形・や挿入,汲める,クメヤ,クメヤ
わたれや	動詞,自立,*,*,一段,未然形・や挿入,わたれる,ワタレヤ,ワタレヤ
自惚れや	動詞,自立,*,*,一段,未然形・や挿入,自惚れる,ウヌボレヤ,ウヌボレヤ
わらいとばせや	動詞,自立,*,*,一段,未然形・や挿入,わらいとばせる,ワライトバセヤ,ワライトバセヤ
ゆわえつけや	動詞,自立,*,*,一段,未然形・や挿入,ゆわえつける,ユワエツケヤ,ユワエツケヤ
うちしおれや	動詞,自立,*,*,一段,未然形・や挿入,うちしおれる,ウチシオレヤ,ウチシオレヤ
ひび割れや	動詞,自立,*,*,一段,未然形・や挿入,ひび割れる,ヒビワレヤ,ヒビワレヤ
なぎふせや	動詞,自立,*,*,一段,未然形・や挿入,なぎふせる,ナギフセヤ,ナギフセヤ
煮つけや	動詞,自立,*,*,一段,未然形・や挿入,煮つける,ニツケヤ,ニツケヤ
吹き払えや	動詞,自立,*,*,一段,未然形・や挿入,吹き払える,フキハラエヤ,フキハラエヤ
切抜けや	動詞,自立,*,*,一段,未然形・や挿入,切抜ける,キリヌケヤ,キリヌケヤ
いいかねや	動詞,自立,*,*,一段,未然形・や挿入,いいかねる,イイカネ,イーカネヤ
とりはなせや	動詞,自立,*,*,一段,未然形・や挿入,とりはなせる,トリハナセヤ,トリハナセヤ
彫りあげや	動詞,自立,*,*,一段,未然形・や挿入,彫りあげる,ホリアゲヤ,ホリアゲヤ
みうけや	動詞,自立,*,*,一段,未然形・や挿入,みうける,ミウケヤ,ミウケヤ
捕れや	動詞,自立,*,*,一段,未然形・や挿入,捕れる,トレヤ,トレヤ
読みかえや	動詞,自立,*,*,一段,未然形・や挿入,読みかえる,ヨミカエヤ,ヨミカエヤ
背けや	動詞,自立,*,*,一段,未然形・や挿入,背ける,ソムケヤ,ソムケヤ
あるきつかれや	動詞,自立,*,*,一段,未然形・や挿入,あるきつかれる,アルキツカレヤ,アルキツカレヤ
置きかえや	動詞,自立,*,*,一段,未然形・や挿入,置きかえる,オキカエヤ,オキカエヤ
務めや	動詞,自立,*,*,一段,未然形・や挿入,務める,ツトメヤ,ツトメヤ
脹れや	動詞,自立,*,*,一段,未然形・や挿入,脹れる,フクレヤ,フクレヤ
やせ衰えや	動詞,自立,*,*,一段,未然形・や挿入,やせ衰える,ヤセオトロエヤ,ヤセオトロエヤ
切り離せや	動詞,自立,*,*,一段,未然形・や挿入,切り離せる,キリハナセヤ,キリハナセヤ
据えつけや	動詞,自立,*,*,一段,未然形・や挿入,据えつける,スエツケヤ,スエツケヤ
みや	動詞,自立,*,*,一段,未然形・や挿入,みる,ミヤ,ミヤ
掻き立てや	動詞,自立,*,*,一段,未然形・や挿入,掻き立てる,カキタテヤ,カキタテヤ
こじれや	動詞,自立,*,*,一段,未然形・や挿入,こじれる,コジレヤ,コジレヤ
聞届けや	動詞,自立,*,*,一段,未然形・や挿入,聞届ける,キキトドケヤ,キキトドケヤ
洗上げや	動詞,自立,*,*,一段,未然形・や挿入,洗上げる,アライアゲヤ,アライアゲヤ
老けや	動詞,自立,*,*,一段,未然形・や挿入,老ける,フケヤ,フケヤ
いいかえや	動詞,自立,*,*,一段,未然形・や挿入,いいかえる,イイカエ,イーカエヤ
しょうこだてや	動詞,自立,*,*,一段,未然形・や挿入,しょうこだてる,ショウコダテ,ショーコダテヤ
さしこえや	動詞,自立,*,*,一段,未然形・や挿入,さしこえる,サシコエヤ,サシコエヤ
ひきわたせや	動詞,自立,*,*,一段,未然形・や挿入,ひきわたせる,ヒキワタセヤ,ヒキワタセヤ
はなれや	動詞,自立,*,*,一段,未然形・や挿入,はなれる,ハナレヤ,ハナレヤ
いさめや	動詞,自立,*,*,一段,未然形・や挿入,いさめる,イサメヤ,イサメヤ
くらせや	動詞,自立,*,*,一段,未然形・や挿入,くらせる,クラセヤ,クラセヤ
戒めや	動詞,自立,*,*,一段,未然形・や挿入,戒める,イマシメヤ,イマシメヤ
みとめや	動詞,自立,*,*,一段,未然形・や挿入,みとめる,ミトメヤ,ミトメヤ
おしつけや	動詞,自立,*,*,一段,未然形・や挿入,おしつける,オシツケヤ,オシツケヤ
塞き上げや	動詞,自立,*,*,一段,未然形・や挿入,塞き上げる,セキアゲヤ,セキアゲヤ
かせや	動詞,自立,*,*,一段,未然形・や挿入,かせる,カセヤ,カセヤ
荒らげや	動詞,自立,*,*,一段,未然形・や挿入,荒らげる,アラゲヤ,アラゲヤ
荒らげや	動詞,自立,*,*,一段,未然形・や挿入,荒らげる,アララゲヤ,アララゲヤ
おくれや	動詞,自立,*,*,一段,未然形・や挿入,おくれる,オクレヤ,オクレヤ
切り開けや	動詞,自立,*,*,一段,未然形・や挿入,切り開ける,キリヒラケヤ,キリヒラケヤ
老いさらばえや	動詞,自立,*,*,一段,未然形・や挿入,老いさらばえる,オイサラバエヤ,オイサラバエヤ
いすわれや	動詞,自立,*,*,一段,未然形・や挿入,いすわれる,イスワレヤ,イスワレヤ
突きつめや	動詞,自立,*,*,一段,未然形・や挿入,突きつめる,ツキツメヤ,ツキツメヤ
やり込めや	動詞,自立,*,*,一段,未然形・や挿入,やり込める,ヤリコメヤ,ヤリコメヤ
嗅ぎ当てや	動詞,自立,*,*,一段,未然形・や挿入,嗅ぎ当てる,カギアテヤ,カギアテヤ
ととのえや	動詞,自立,*,*,一段,未然形・や挿入,ととのえる,トトノエヤ,トトノエヤ
暮らせや	動詞,自立,*,*,一段,未然形・や挿入,暮らせる,クラセヤ,クラセヤ
研けや	動詞,自立,*,*,一段,未然形・や挿入,研ける,ミガケヤ,ミガケヤ
語れや	動詞,自立,*,*,一段,未然形・や挿入,語れる,カタレヤ,カタレヤ
ふんぎれや	動詞,自立,*,*,一段,未然形・や挿入,ふんぎれる,フンギレヤ,フンギレヤ
持掛けや	動詞,自立,*,*,一段,未然形・や挿入,持掛ける,モチカケヤ,モチカケヤ
講じや	動詞,自立,*,*,一段,未然形・や挿入,講じる,コウジ,コージヤ
もらえや	動詞,自立,*,*,一段,未然形・や挿入,もらえる,モラエヤ,モラエヤ
当て嵌めや	動詞,自立,*,*,一段,未然形・や挿入,当て嵌める,アテハメヤ,アテハメヤ
つくりかえや	動詞,自立,*,*,一段,未然形・や挿入,つくりかえる,ツクリカエヤ,ツクリカエヤ
落ちつけや	動詞,自立,*,*,一段,未然形・や挿入,落ちつける,オチツケヤ,オチツケヤ
古ぼけや	動詞,自立,*,*,一段,未然形・や挿入,古ぼける,フルボケヤ,フルボケヤ
矯めや	動詞,自立,*,*,一段,未然形・や挿入,矯める,タメヤ,タメヤ
たてこもれや	動詞,自立,*,*,一段,未然形・や挿入,たてこもれる,タテコモレヤ,タテコモレヤ
あきれはてや	動詞,自立,*,*,一段,未然形・や挿入,あきれはてる,アキレハテヤ,アキレハテヤ
参じや	動詞,自立,*,*,一段,未然形・や挿入,参じる,サンジヤ,サンジヤ
醸せや	動詞,自立,*,*,一段,未然形・や挿入,醸せる,カモセヤ,カモセヤ
うれや	動詞,自立,*,*,一段,未然形・や挿入,うれる,ウレヤ,ウレヤ
及ぼせや	動詞,自立,*,*,一段,未然形・や挿入,及ぼせる,オヨボセヤ,オヨボセヤ
絎けや	動詞,自立,*,*,一段,未然形・や挿入,絎ける,クケヤ,クケヤ
はぐくめや	動詞,自立,*,*,一段,未然形・や挿入,はぐくめる,ハグクメヤ,ハグクメヤ
打てや	動詞,自立,*,*,一段,未然形・や挿入,打てる,ウテヤ,ウテヤ
買い替えや	動詞,自立,*,*,一段,未然形・や挿入,買い替える,カイカエヤ,カイカエヤ
走り出や	動詞,自立,*,*,一段,未然形・や挿入,走り出る,ハシリデヤ,ハシリデヤ
賣れや	動詞,自立,*,*,一段,未然形・や挿入,賣れる,ウレヤ,ウレヤ
はめこめや	動詞,自立,*,*,一段,未然形・や挿入,はめこめる,ハメコメヤ,ハメコメヤ
目がけや	動詞,自立,*,*,一段,未然形・や挿入,目がける,メガケヤ,メガケヤ
碎けや	動詞,自立,*,*,一段,未然形・や挿入,碎ける,クダケヤ,クダケヤ
おもいうかべや	動詞,自立,*,*,一段,未然形・や挿入,おもいうかべる,オモイウカベヤ,オモイウカベヤ
つっかえせや	動詞,自立,*,*,一段,未然形・や挿入,つっかえせる,ツッカエセヤ,ツッカエセヤ
押寄せや	動詞,自立,*,*,一段,未然形・や挿入,押寄せる,オシヨセヤ,オシヨセヤ
いれあわせや	動詞,自立,*,*,一段,未然形・や挿入,いれあわせる,イレアワセヤ,イレアワセヤ
凍てや	動詞,自立,*,*,一段,未然形・や挿入,凍てる,イテヤ,イテヤ
鋳や	動詞,自立,*,*,一段,未然形・や挿入,鋳る,イヤ,イヤ
おこれや	動詞,自立,*,*,一段,未然形・や挿入,おこれる,オコレヤ,オコレヤ
申し伝えや	動詞,自立,*,*,一段,未然形・や挿入,申し伝える,モウシツタエ,モーシツタエヤ
焼き付けや	動詞,自立,*,*,一段,未然形・や挿入,焼き付ける,ヤキツケヤ,ヤキツケヤ
