引き込み	動詞,自立,*,*,五段・マ行,命令k,引き込む,ヒキコミ,ヒキコミ
あいし	動詞,自立,*,*,五段・サ行,命令k,あいす,アイシ,アイシ
貫き	動詞,自立,*,*,五段・カ行イ音便,命令k,貫く,ツラヌキ,ツラヌキ
もうで	動詞,自立,*,*,一段,命令k,もうでる,モウデ,モーデ
しとり	動詞,自立,*,*,五段・ラ行,命令k,しとる,シトリ,シトリ
貸し切り	動詞,自立,*,*,五段・ラ行,命令k,貸し切る,カシキリ,カシキリ
見落とし	動詞,自立,*,*,五段・サ行,命令k,見落とす,ミオトシ,ミオトシ
こころがけ	動詞,自立,*,*,一段,命令k,こころがける,ココロガケ,ココロガケ
飢え	動詞,自立,*,*,一段,命令k,飢える,ウエ,ウエ
打ち切り	動詞,自立,*,*,五段・ラ行,命令k,打ち切る,ウチキリ,ウチキリ
思い	動詞,自立,*,*,五段・ワ行促音便,命令k,思う,オモイ,オモイ
あび	動詞,自立,*,*,一段,命令k,あびる,アビ,アビ
改め	動詞,自立,*,*,一段,命令k,改める,アラタメ,アラタメ
ゆき	動詞,非自立,*,*,五段・カ行促音便ユク,命令k,ゆく,ユキ,ユキ
食え	動詞,自立,*,*,一段,命令k,食える,クエ,クエ
拠り	動詞,自立,*,*,五段・ラ行,命令k,拠る,ヨリ,ヨリ
巡り	動詞,自立,*,*,五段・ラ行,命令k,巡る,メグリ,メグリ
代り	動詞,自立,*,*,五段・ラ行,命令k,代る,カワリ,カワリ
おとし	動詞,自立,*,*,五段・サ行,命令k,おとす,オトシ,オトシ
過し	動詞,自立,*,*,五段・サ行,命令k,過す,スゴシ,スゴシ
科し	動詞,自立,*,*,五段・サ行,命令k,科す,カシ,カシ
まくり	動詞,自立,*,*,五段・ラ行,命令k,まくる,マクリ,マクリ
振り分け	動詞,自立,*,*,一段,命令k,振り分ける,フリワケ,フリワケ
洗え	動詞,自立,*,*,一段,命令k,洗える,アラエ,アラエ
飛び込め	動詞,自立,*,*,一段,命令k,飛び込める,トビコメ,トビコメ
降ろせ	動詞,自立,*,*,一段,命令k,降ろせる,オロセ,オロセ
もうし	動詞,自立,*,*,五段・サ行,命令k,もうす,モウシ,モーシ
死にかけ	動詞,自立,*,*,一段,命令k,死にかける,シニカケ,シニカケ
もとめ	動詞,自立,*,*,一段,命令k,もとめる,モトメ,モトメ
交わし	動詞,自立,*,*,五段・サ行,命令k,交わす,カワシ,カワシ
ぼかし	動詞,自立,*,*,五段・サ行,命令k,ぼかす,ボカシ,ボカシ
通れ	動詞,自立,*,*,一段,命令k,通れる,トオレ,トーレ
歩き	動詞,自立,*,*,五段・カ行イ音便,命令k,歩く,アルキ,アルキ
咲かせ	動詞,自立,*,*,一段,命令k,咲かせる,サカセ,サカセ
きかし	動詞,自立,*,*,五段・サ行,命令k,きかす,キカシ,キカシ
みとれ	動詞,自立,*,*,一段,命令k,みとれる,ミトレ,ミトレ
恵まれ	動詞,自立,*,*,一段,命令k,恵まれる,メグマレ,メグマレ
ええ	動詞,自立,*,*,一段,命令k,得る,エエ,エー
替え	動詞,自立,*,*,一段,命令k,替える,カエ,カエ
生き	動詞,自立,*,*,一段,命令k,生きる,イキ,イキ
願い	動詞,自立,*,*,五段・ワ行促音便,命令k,願う,ネガイ,ネガイ
着け	動詞,自立,*,*,一段,命令k,着ける,ツケ,ツケ
泳げ	動詞,自立,*,*,一段,命令k,泳げる,オヨゲ,オヨゲ
繋げ	動詞,自立,*,*,一段,命令k,繋げる,ツナゲ,ツナゲ
驚き	動詞,自立,*,*,五段・カ行イ音便,命令k,驚く,オドロキ,オドロキ
