逢え	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,逢う,アエ,アエ
けがせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,けがす,ケガセ,ケガセ
活かせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,活かす,イカセ,イカセ
かなえ	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,かなう,カナエ,カナエ
えれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,える,エレ,エレ
寄越せ	動詞,自立,*,*,五段・サ行,未然形・母音調和,寄越す,ヨコセ,ヨコセ
てれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,てる,テレ,テレ
どけ	動詞,非自立,*,*,五段・カ行イ音便,未然形・母音調和,どく,ドケ,ドケ
やけ	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,やく,ヤケ,ヤケ
あれ	動詞,非自立,*,*,五段・ラ行,未然形・母音調和,ある,アレ,アレ
なげ	動詞,自立,*,*,五段・ガ行,未然形・母音調和,なぐ,ナゲ,ナゲ
止まれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,止まる,トマレ,トマレ
しまえ	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,しまう,シマエ,シマエ
張れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,張る,ハレ,ハレ
行かせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,行かす,イカセ,イカセ
あがれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,あがる,アガレ,アガレ
もて	動詞,自立,*,*,五段・タ行,未然形・母音調和,もつ,モテ,モテ
捌け	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,捌く,サバケ,サバケ
儲かれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,儲かる,モウカレ,モーカレ
添え	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,添う,ソエ,ソエ
くめ	動詞,自立,*,*,五段・マ行,未然形・母音調和,くむ,クメ,クメ
伏せ	動詞,自立,*,*,五段・サ行,未然形・母音調和,伏す,フセ,フセ
焼け	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,焼く,ヤケ,ヤケ
かおれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,かおる,カオレ,カオレ
潜れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,潜る,モグレ,モグレ
潜れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,潜る,クグレ,クグレ
つながれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,つながる,ツナガレ,ツナガレ
聞き入れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,聞き入る,キキイレ,キキイレ
失せ	動詞,自立,*,*,五段・サ行,未然形・母音調和,失す,シッセ,シッセ
描け	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,描く,エガケ,エガケ
描け	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,描く,カケ,カケ
走らせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,走らす,ハシラセ,ハシラセ
可愛がれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,可愛がる,カワイガレ,カワイガレ
かけ	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,かく,カケ,カケ
誇れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,誇る,ホコレ,ホコレ
戻れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,戻る,モドレ,モドレ
題せ	動詞,自立,*,*,五段・サ行,未然形・母音調和,題す,ダイセ,ダイセ
残れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,残る,ノコレ,ノコレ
知らせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,知らす,シラセ,シラセ
見切れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,見切る,ミキレ,ミキレ
払え	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,払う,ハラエ,ハラエ
行け	動詞,非自立,*,*,五段・カ行促音便,未然形・母音調和,行く,イケ,イケ
いめ	動詞,自立,*,*,五段・マ行,未然形・母音調和,いむ,イメ,イメ
飛び込め	動詞,自立,*,*,五段・マ行,未然形・母音調和,飛び込む,トビコメ,トビコメ
狙え	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,狙う,ネラエ,ネラエ
甘やかせ	動詞,自立,*,*,五段・サ行,未然形・母音調和,甘やかす,アマヤカセ,アマヤカセ
しゃべれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,しゃべる,シャベレ,シャベレ
休め	動詞,自立,*,*,五段・マ行,未然形・母音調和,休む,ヤスメ,ヤスメ
しれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,しる,シレ,シレ
いれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,いる,イレ,イレ
であるけ	動詞,自立,*,*,五段・カ行イ音便,未然形・母音調和,であるく,デアルケ,デアルケ
いとえ	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,いとう,イトエ,イトエ
帰れ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,帰る,カエレ,カエレ
よりきれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,よりきる,ヨリキレ,ヨリキレ
遊べ	動詞,自立,*,*,五段・バ行,未然形・母音調和,遊ぶ,アソベ,アソベ
間違え	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,間違う,マチガエ,マチガエ
続け	動詞,非自立,*,*,五段・カ行イ音便,未然形・母音調和,続く,ツヅケ,ツズケ
つげ	動詞,自立,*,*,五段・ガ行,未然形・母音調和,つぐ,ツゲ,ツゲ
はれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,はる,ハレ,ハレ
かこえ	動詞,自立,*,*,五段・ワ行促音便,未然形・母音調和,かこう,カコエ,カコエ
がれ	動詞,接尾,*,*,五段・ラ行,未然形・母音調和,がる,ガレ,ガレ
かぎれ	動詞,自立,*,*,五段・ラ行,未然形・母音調和,かぎる,カギレ,カギレ
生め	動詞,自立,*,*,五段・マ行,未然形・母音調和,生む,ウメ,ウメ
