引き込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,引き込む,ヒキコミャ,ヒキコミャ
ひわれっ	動詞,自立,*,*,一段,基本縮約,ひわれる,ヒワレッ,ヒワレッ
押さえつけっ	動詞,自立,*,*,一段,基本縮約,押さえつける,オサエツケッ,オサエツケッ
振り撒きゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,振り撒く,フリマキャ,フリマキャ
切り抜きゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,切り抜く,キリヌキャ,キリヌキャ
舐めずっ	動詞,自立,*,*,五段・ラ行,基本縮約,舐めずる,ナメズッ,ナメズッ
振り翳しゃ	動詞,自立,*,*,五段・サ行,基本縮約,振り翳す,フリカザシャ,フリカザシャ
連ねっ	動詞,自立,*,*,一段,基本縮約,連ねる,ツラネッ,ツラネッ
生き延びっ	動詞,自立,*,*,一段,基本縮約,生き延びる,イキノビッ,イキノビッ
まぶしゃ	動詞,自立,*,*,五段・サ行,基本縮約,まぶす,マブシャ,マブシャ
たて込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,たて込む,タテコミャ,タテコミャ
ひきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,ひく,ヒキャ,ヒキャ
鋳込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,鋳込む,イコミャ,イコミャ
滑べっ	動詞,自立,*,*,五段・ラ行,基本縮約,滑べる,スベッ,スベッ
みすごしゃ	動詞,自立,*,*,五段・サ行,基本縮約,みすごす,ミスゴシャ,ミスゴシャ
感極まっ	動詞,自立,*,*,五段・ラ行,基本縮約,感極まる,カンキワマッ,カンキワマッ
言いくるめっ	動詞,自立,*,*,一段,基本縮約,言いくるめる,イイクルメッ,イークルメッ
刈り急ぎゃ	動詞,自立,*,*,五段・ガ行,基本縮約,刈り急ぐ,カリイソギャ,カリイソギャ
賭しゃ	動詞,自立,*,*,五段・サ行,基本縮約,賭す,トシャ,トシャ
僻すっ	動詞,自立,*,*,サ変・−スル,基本縮約,僻する,ヘキスッ,ヘキスッ
競り合えっ	動詞,自立,*,*,一段,基本縮約,競り合える,セリアエッ,セリアエッ
泣ぬれっ	動詞,自立,*,*,一段,基本縮約,泣ぬれる,ナキヌレッ,ナキヌレッ
みまもれっ	動詞,自立,*,*,一段,基本縮約,みまもれる,ミマモレッ,ミマモレッ
撓めっ	動詞,自立,*,*,一段,基本縮約,撓める,イタメッ,イタメッ
撓めっ	動詞,自立,*,*,一段,基本縮約,撓める,タワメッ,タワメッ
つがえっ	動詞,自立,*,*,一段,基本縮約,つがえる,ツガエッ,ツガエッ
待ち合わしゃ	動詞,自立,*,*,五段・サ行,基本縮約,待ち合わす,マチアワシャ,マチアワシャ
盗みゃ	動詞,自立,*,*,五段・マ行,基本縮約,盗む,ヌスミャ,ヌスミャ
側めっ	動詞,自立,*,*,一段,基本縮約,側める,ソバメッ,ソバメッ
先細っ	動詞,自立,*,*,五段・ラ行,基本縮約,先細る,サキホソッ,サキホソッ
うけつぎゃ	動詞,自立,*,*,五段・ガ行,基本縮約,うけつぐ,ウケツギャ,ウケツギャ
探れっ	動詞,自立,*,*,一段,基本縮約,探れる,サグレッ,サグレッ
鼻じろみゃ	動詞,自立,*,*,五段・マ行,基本縮約,鼻じろむ,ハナジロミャ,ハナジロミャ
挟みゃ	動詞,自立,*,*,五段・マ行,基本縮約,挟む,ハサミャ,ハサミャ
挟みゃ	動詞,自立,*,*,五段・マ行,基本縮約,挟む,サシハサミャ,サシハサミャ
いこみゃ	動詞,自立,*,*,五段・マ行,基本縮約,いこむ,イコミャ,イコミャ
たのしみゃ	動詞,自立,*,*,五段・マ行,基本縮約,たのしむ,タノシミャ,タノシミャ
うりまくれっ	動詞,自立,*,*,一段,基本縮約,うりまくれる,ウリマクレッ,ウリマクレッ
混ぜかえしゃ	動詞,自立,*,*,五段・サ行,基本縮約,混ぜかえす,マゼカエシャ,マゼカエシャ
取り出しゃ	動詞,自立,*,*,五段・サ行,基本縮約,取り出す,トリダシャ,トリダシャ
よびとめっ	動詞,自立,*,*,一段,基本縮約,よびとめる,ヨビトメッ,ヨビトメッ
抜き出しゃ	動詞,自立,*,*,五段・サ行,基本縮約,抜き出す,ヌキダシャ,ヌキダシャ
跨っ	動詞,自立,*,*,五段・ラ行,基本縮約,跨る,マタガッ,マタガッ
ほかなっ	動詞,自立,*,*,五段・ラ行,基本縮約,ほかなる,ホカナッ,ホカナッ
あり合せっ	動詞,自立,*,*,一段,基本縮約,あり合せる,アリアワセッ,アリアワセッ
なきこみゃ	動詞,自立,*,*,五段・マ行,基本縮約,なきこむ,ナキコミャ,ナキコミャ
つけ込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,つけ込む,ツケコミャ,ツケコミャ
競り上げっ	動詞,自立,*,*,一段,基本縮約,競り上げる,セリアゲッ,セリアゲッ
繙きゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,繙く,ヒモトキャ,ヒモトキャ
推し進めっ	動詞,自立,*,*,一段,基本縮約,推し進める,オシススメッ,オシススメッ
価すっ	動詞,自立,*,*,サ変・−スル,基本縮約,価する,アタイスッ,アタイスッ
もりあわせっ	動詞,自立,*,*,一段,基本縮約,もりあわせる,モリアワセッ,モリアワセッ
いじっ	動詞,自立,*,*,五段・ラ行,基本縮約,いじる,イジッ,イジッ
釣り出しゃ	動詞,自立,*,*,五段・サ行,基本縮約,釣り出す,ツリダシャ,ツリダシャ
やっつけっ	動詞,自立,*,*,一段,基本縮約,やっつける,ヤッツケッ,ヤッツケッ
ひり出しゃ	動詞,自立,*,*,五段・サ行,基本縮約,ひり出す,ヒリダシャ,ヒリダシャ
言い逃れっ	動詞,自立,*,*,一段,基本縮約,言い逃れる,イイノガレッ,イーノガレッ
とびだせっ	動詞,自立,*,*,一段,基本縮約,とびだせる,トビダセッ,トビダセッ
かえしゃ	動詞,自立,*,*,五段・サ行,基本縮約,かえす,カエシャ,カエシャ
いじけっ	動詞,自立,*,*,一段,基本縮約,いじける,イジケッ,イジケッ
もたげっ	動詞,自立,*,*,一段,基本縮約,もたげる,モタゲッ,モタゲッ
出ぱっ	動詞,自立,*,*,五段・ラ行,基本縮約,出ぱる,デッパッ,デッパッ
騙かしゃ	動詞,自立,*,*,五段・サ行,基本縮約,騙かす,ダマカシャ,ダマカシャ
苦しめっ	動詞,自立,*,*,一段,基本縮約,苦しめる,クルシメッ,クルシメッ
やみつきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,やみつく,ヤミツキャ,ヤミツキャ
打出せっ	動詞,自立,*,*,一段,基本縮約,打出せる,ウチダセッ,ウチダセッ
ひっ掻きゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,ひっ掻く,ヒッカキャ,ヒッカキャ
えんづきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,えんづく,エンヅキャ,エンズキャ
えんづきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,えんづく,エンヅキャ,エンヅキャ
窪めっ	動詞,自立,*,*,一段,基本縮約,窪める,クボメッ,クボメッ
すぎっ	動詞,非自立,*,*,一段,基本縮約,すぎる,スギッ,スギッ
転がせっ	動詞,自立,*,*,一段,基本縮約,転がせる,コロガセッ,コロガセッ
たちいっ	動詞,自立,*,*,五段・ラ行,基本縮約,たちいる,タチイッ,タチイッ
着飾れっ	動詞,自立,*,*,一段,基本縮約,着飾れる,キカザレッ,キカザレッ
ふりこみゃ	動詞,自立,*,*,五段・マ行,基本縮約,ふりこむ,フリコミャ,フリコミャ
書き分けっ	動詞,自立,*,*,一段,基本縮約,書き分ける,カキワケッ,カキワケッ
浴すっ	動詞,自立,*,*,サ変・−スル,基本縮約,浴する,ヨクスッ,ヨクスッ
編出しゃ	動詞,自立,*,*,五段・サ行,基本縮約,編出す,アミダシャ,アミダシャ
飛込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,飛込む,トビコミャ,トビコミャ
驚き入っ	動詞,自立,*,*,五段・ラ行,基本縮約,驚き入る,オドロキイッ,オドロキイッ
笑み割れっ	動詞,自立,*,*,一段,基本縮約,笑み割れる,エミワレッ,エミワレッ
とりはからえっ	動詞,自立,*,*,一段,基本縮約,とりはからえる,トリハカラエッ,トリハカラエッ
掬びゃ	動詞,自立,*,*,五段・バ行,基本縮約,掬ぶ,ムスビャ,ムスビャ
暗ましゃ	動詞,自立,*,*,五段・サ行,基本縮約,暗ます,クラマシャ,クラマシャ
茹でっ	動詞,自立,*,*,一段,基本縮約,茹でる,ユデッ,ユデッ
取り戻せっ	動詞,自立,*,*,一段,基本縮約,取り戻せる,トリモドセッ,トリモドセッ
病みつきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,病みつく,ヤミツキャ,ヤミツキャ
ネグっ	動詞,自立,*,*,五段・ラ行,基本縮約,ネグる,ネグッ,ネグッ
卷きゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,卷く,マキャ,マキャ
はこびゃ	動詞,自立,*,*,五段・バ行,基本縮約,はこぶ,ハコビャ,ハコビャ
せんじっ	動詞,自立,*,*,一段,基本縮約,せんじる,センジッ,センジッ
祈れっ	動詞,自立,*,*,一段,基本縮約,祈れる,イノレッ,イノレッ
命じっ	動詞,自立,*,*,一段,基本縮約,命じる,メイジッ,メイジッ
喜びゃ	動詞,自立,*,*,五段・バ行,基本縮約,喜ぶ,ヨロコビャ,ヨロコビャ
みしっ	動詞,自立,*,*,五段・ラ行,基本縮約,みしる,ミシッ,ミシッ
爛れっ	動詞,自立,*,*,一段,基本縮約,爛れる,タダレッ,タダレッ
囀っ	動詞,自立,*,*,五段・ラ行,基本縮約,囀る,サエズッ,サエズッ
さきだちゃ	動詞,自立,*,*,五段・タ行,基本縮約,さきだつ,サキダチャ,サキダチャ
薨ずっ	動詞,自立,*,*,サ変・−ズル,基本縮約,薨ずる,コウズッ,コーズッ
見兼ねっ	動詞,自立,*,*,一段,基本縮約,見兼ねる,ミカネッ,ミカネッ
小突きゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,小突く,コヅキャ,コズキャ
おりあげっ	動詞,自立,*,*,一段,基本縮約,おりあげる,オリアゲッ,オリアゲッ
きらめみゃ	動詞,自立,*,*,五段・マ行,基本縮約,きらめむ,キラメミャ,キラメミャ
掻き起しゃ	動詞,自立,*,*,五段・サ行,基本縮約,掻き起す,カキオコシャ,カキオコシャ
思いかえしゃ	動詞,自立,*,*,五段・サ行,基本縮約,思いかえす,オモイカエシャ,オモイカエシャ
やりかえせっ	動詞,自立,*,*,一段,基本縮約,やりかえせる,ヤリカエセッ,ヤリカエセッ
ちばしっ	動詞,自立,*,*,五段・ラ行,基本縮約,ちばしる,チバシッ,チバシッ
かみわけっ	動詞,自立,*,*,一段,基本縮約,かみわける,カミワケッ,カミワケッ
さしおきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,さしおく,サシオキャ,サシオキャ
見かけっ	動詞,自立,*,*,一段,基本縮約,見かける,ミカケッ,ミカケッ
おおわれっ	動詞,自立,*,*,一段,基本縮約,おおわれる,オオワレッ,オオワレッ
たたき起こせっ	動詞,自立,*,*,一段,基本縮約,たたき起こせる,タタキオコセッ,タタキオコセッ
成り済ましゃ	動詞,自立,*,*,五段・サ行,基本縮約,成り済ます,ナリスマシャ,ナリスマシャ
おじけづきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,おじけづく,オジケヅキャ,オジケズキャ
くみ出せっ	動詞,自立,*,*,一段,基本縮約,くみ出せる,クミダセッ,クミダセッ
なやみゃ	動詞,自立,*,*,五段・マ行,基本縮約,なやむ,ナヤミャ,ナヤミャ
頼み込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,頼み込む,タノミコミャ,タノミコミャ
ゆずっ	動詞,自立,*,*,五段・ラ行,基本縮約,ゆずる,ユズッ,ユズッ
転ずっ	動詞,自立,*,*,サ変・−ズル,基本縮約,転ずる,テンズッ,テンズッ
息まきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,息まく,イキマキャ,イキマキャ
ひぞっ	動詞,自立,*,*,五段・ラ行,基本縮約,ひぞる,ヒゾッ,ヒゾッ
青みゃ	動詞,自立,*,*,五段・マ行,基本縮約,青む,アオミャ,アオミャ
づけっ	動詞,自立,*,*,一段,基本縮約,づける,ヅケッ,ズケッ
ござっ	動詞,自立,*,*,五段・ラ行特殊,基本縮約,ござる,ゴザッ,ゴザッ
蹴出しゃ	動詞,自立,*,*,五段・サ行,基本縮約,蹴出す,ケダシャ,ケダシャ
ふすっ	動詞,自立,*,*,サ変・−スル,基本縮約,ふする,フスッ,フスッ
遣いこみゃ	動詞,自立,*,*,五段・マ行,基本縮約,遣いこむ,ツカイコミャ,ツカイコミャ
もたせ掛けっ	動詞,自立,*,*,一段,基本縮約,もたせ掛ける,モタセカケッ,モタセカケッ
遣り込めっ	動詞,自立,*,*,一段,基本縮約,遣り込める,ヤリコメッ,ヤリコメッ
なかしゃ	動詞,自立,*,*,五段・サ行,基本縮約,なかす,ナカシャ,ナカシャ
ちえづきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,ちえづく,チエヅキャ,チエズキャ
噛めっ	動詞,自立,*,*,一段,基本縮約,噛める,カメッ,カメッ
煮え返っ	動詞,自立,*,*,五段・ラ行,基本縮約,煮え返る,ニエカエッ,ニエカエッ
飾り立てっ	動詞,自立,*,*,一段,基本縮約,飾り立てる,カザリタテッ,カザリタテッ
古びっ	動詞,自立,*,*,一段,基本縮約,古びる,フルビッ,フルビッ
とび出っ	動詞,自立,*,*,一段,基本縮約,とび出る,トビデッ,トビデッ
感じっ	動詞,自立,*,*,一段,基本縮約,感じる,カンジッ,カンジッ
奬めっ	動詞,自立,*,*,一段,基本縮約,奬める,ススメッ,ススメッ
吊しゃ	動詞,自立,*,*,五段・サ行,基本縮約,吊す,ツルシャ,ツルシャ
つれもどせっ	動詞,自立,*,*,一段,基本縮約,つれもどせる,ツレモドセッ,ツレモドセッ
握れっ	動詞,自立,*,*,一段,基本縮約,握れる,ニギレッ,ニギレッ
えり分けっ	動詞,自立,*,*,一段,基本縮約,えり分ける,エリワケッ,エリワケッ
焚き染めっ	動詞,自立,*,*,一段,基本縮約,焚き染める,タキシメッ,タキシメッ
由っ	動詞,自立,*,*,五段・ラ行,基本縮約,由る,ヨッ,ヨッ
あまんじっ	動詞,自立,*,*,一段,基本縮約,あまんじる,アマンジッ,アマンジッ
振替えっ	動詞,自立,*,*,一段,基本縮約,振替える,フリカエッ,フリカエッ
産みつけっ	動詞,自立,*,*,一段,基本縮約,産みつける,ウミツケッ,ウミツケッ
植え込めっ	動詞,自立,*,*,一段,基本縮約,植え込める,ウエコメッ,ウエコメッ
沸き起これっ	動詞,自立,*,*,一段,基本縮約,沸き起これる,ワキオコレッ,ワキオコレッ
目覚めっ	動詞,自立,*,*,一段,基本縮約,目覚める,メザメッ,メザメッ
委せっ	動詞,自立,*,*,一段,基本縮約,委せる,マカセッ,マカセッ
住み慣れっ	動詞,自立,*,*,一段,基本縮約,住み慣れる,スミナレッ,スミナレッ
思ほしゃ	動詞,自立,*,*,五段・サ行,基本縮約,思ほす,オモホシャ,オモホシャ
みちがえっ	動詞,自立,*,*,一段,基本縮約,みちがえる,ミチガエッ,ミチガエッ
せめのぼっ	動詞,自立,*,*,五段・ラ行,基本縮約,せめのぼる,セメノボッ,セメノボッ
気どっ	動詞,自立,*,*,五段・ラ行,基本縮約,気どる,キドッ,キドッ
したしみゃ	動詞,自立,*,*,五段・マ行,基本縮約,したしむ,シタシミャ,シタシミャ
持ち合わせっ	動詞,自立,*,*,一段,基本縮約,持ち合わせる,モチアワセッ,モチアワセッ
置換わっ	動詞,自立,*,*,五段・ラ行,基本縮約,置換わる,オキカワッ,オキカワッ
聞流しゃ	動詞,自立,*,*,五段・サ行,基本縮約,聞流す,キキナガシャ,キキナガシャ
追い落としゃ	動詞,自立,*,*,五段・サ行,基本縮約,追い落とす,オイオトシャ,オイオトシャ
焦れ込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,焦れ込む,ジレコミャ,ジレコミャ
極めっ	動詞,自立,*,*,一段,基本縮約,極める,キワメッ,キワメッ
ねせっ	動詞,自立,*,*,一段,基本縮約,ねせる,ネセッ,ネセッ
つづめっ	動詞,自立,*,*,一段,基本縮約,つづめる,ツヅメッ,ツズメッ
ろんずっ	動詞,自立,*,*,サ変・−ズル,基本縮約,ろんずる,ロンズッ,ロンズッ
書き下ろしゃ	動詞,自立,*,*,五段・サ行,基本縮約,書き下ろす,カキオロシャ,カキオロシャ
綴れっ	動詞,自立,*,*,一段,基本縮約,綴れる,ツヅレッ,ツズレッ
かねっ	動詞,自立,*,*,一段,基本縮約,かねる,カネッ,カネッ
凍り付きゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,凍り付く,コオリツキャ,コーリツキャ
すんたっ	動詞,自立,*,*,五段・ラ行,基本縮約,すんたる,スンタッ,スンタッ
計っ	動詞,自立,*,*,五段・ラ行,基本縮約,計る,ハカッ,ハカッ
開き直れっ	動詞,自立,*,*,一段,基本縮約,開き直れる,ヒラキナオレッ,ヒラキナオレッ
取りそろえっ	動詞,自立,*,*,一段,基本縮約,取りそろえる,トリソロエッ,トリソロエッ
割り戻せっ	動詞,自立,*,*,一段,基本縮約,割り戻せる,ワリモドセッ,ワリモドセッ
しみこみゃ	動詞,自立,*,*,五段・マ行,基本縮約,しみこむ,シミコミャ,シミコミャ
にげうせっ	動詞,自立,*,*,一段,基本縮約,にげうせる,ニゲウセッ,ニゲウセッ
しつけっ	動詞,自立,*,*,一段,基本縮約,しつける,シツケッ,シツケッ
すりまぜっ	動詞,自立,*,*,一段,基本縮約,すりまぜる,スリマゼッ,スリマゼッ
匂わせっ	動詞,自立,*,*,一段,基本縮約,匂わせる,ニオワセッ,ニオワセッ
転がり込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,転がり込む,コロガリコミャ,コロガリコミャ
貸切っ	動詞,自立,*,*,五段・ラ行,基本縮約,貸切る,カシキッ,カシキッ
縫い込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,縫い込む,ヌイコミャ,ヌイコミャ
ひきつづけっ	動詞,自立,*,*,一段,基本縮約,ひきつづける,ヒキツヅケッ,ヒキツズケッ
割りあてっ	動詞,自立,*,*,一段,基本縮約,割りあてる,ワリアテッ,ワリアテッ
ぼうすっ	動詞,自立,*,*,サ変・−スル,基本縮約,ぼうする,ボウスッ,ボースッ
ひたしゃ	動詞,自立,*,*,五段・サ行,基本縮約,ひたす,ヒタシャ,ヒタシャ
振り落としゃ	動詞,自立,*,*,五段・サ行,基本縮約,振り落とす,フリオトシャ,フリオトシャ
ひきおろしゃ	動詞,自立,*,*,五段・サ行,基本縮約,ひきおろす,ヒキオロシャ,ヒキオロシャ
みおろせっ	動詞,自立,*,*,一段,基本縮約,みおろせる,ミオロセッ,ミオロセッ
立ふさがっ	動詞,自立,*,*,五段・ラ行,基本縮約,立ふさがる,タチフサガッ,タチフサガッ
切付けっ	動詞,自立,*,*,一段,基本縮約,切付ける,キリツケッ,キリツケッ
目慣れっ	動詞,自立,*,*,一段,基本縮約,目慣れる,メナレッ,メナレッ
ころがっ	動詞,自立,*,*,五段・ラ行,基本縮約,ころがる,コロガッ,コロガッ
はたらきかけっ	動詞,自立,*,*,一段,基本縮約,はたらきかける,ハタラキカケッ,ハタラキカケッ
ちかづけっ	動詞,自立,*,*,一段,基本縮約,ちかづける,チカヅケッ,チカズケッ
立ち返っ	動詞,自立,*,*,五段・ラ行,基本縮約,立ち返る,タチカエッ,タチカエッ
むかつきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,むかつく,ムカツキャ,ムカツキャ
芽生えっ	動詞,自立,*,*,一段,基本縮約,芽生える,メバエッ,メバエッ
侮れっ	動詞,自立,*,*,一段,基本縮約,侮れる,アナドレッ,アナドレッ
取り去れっ	動詞,自立,*,*,一段,基本縮約,取り去れる,トリサレッ,トリサレッ
ぶちこわしゃ	動詞,自立,*,*,五段・サ行,基本縮約,ぶちこわす,ブチコワシャ,ブチコワシャ
期しゃ	動詞,自立,*,*,五段・サ行,基本縮約,期す,キシャ,キシャ
伝わっ	動詞,自立,*,*,五段・ラ行,基本縮約,伝わる,ツタワッ,ツタワッ
任じっ	動詞,自立,*,*,一段,基本縮約,任じる,ニンジッ,ニンジッ
つま先立ちゃ	動詞,自立,*,*,五段・タ行,基本縮約,つま先立つ,ツマサキダチャ,ツマサキダチャ
垂れ込みゃ	動詞,自立,*,*,五段・マ行,基本縮約,垂れ込む,タレコミャ,タレコミャ
勝取っ	動詞,自立,*,*,五段・ラ行,基本縮約,勝取る,カチトッ,カチトッ
ちからつきっ	動詞,自立,*,*,一段,基本縮約,ちからつきる,チカラツキッ,チカラツキッ
踏んばっ	動詞,自立,*,*,五段・ラ行,基本縮約,踏んばる,フンバッ,フンバッ
かちこせっ	動詞,自立,*,*,一段,基本縮約,かちこせる,カチコセッ,カチコセッ
たがっ	動詞,自立,*,*,五段・ラ行,基本縮約,たがる,タガッ,タガッ
おきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,おく,オキャ,オキャ
咲き乱れっ	動詞,自立,*,*,一段,基本縮約,咲き乱れる,サキミダレッ,サキミダレッ
ねんじっ	動詞,自立,*,*,一段,基本縮約,ねんじる,ネンジッ,ネンジッ
留めっ	動詞,自立,*,*,一段,基本縮約,留める,トメッ,トメッ
留めっ	動詞,自立,*,*,一段,基本縮約,留める,トドメッ,トドメッ
打ちよせっ	動詞,自立,*,*,一段,基本縮約,打ちよせる,ウチヨセッ,ウチヨセッ
つっこめっ	動詞,自立,*,*,一段,基本縮約,つっこめる,ツッコメッ,ツッコメッ
已めっ	動詞,自立,*,*,一段,基本縮約,已める,ヤメッ,ヤメッ
ききかえせっ	動詞,自立,*,*,一段,基本縮約,ききかえせる,キキカエセッ,キキカエセッ
みやっ	動詞,自立,*,*,五段・ラ行,基本縮約,みやる,ミヤッ,ミヤッ
仇すっ	動詞,自立,*,*,サ変・−スル,基本縮約,仇する,アダスッ,アダスッ
きょうすっ	動詞,自立,*,*,サ変・−スル,基本縮約,きょうする,キョウスッ,キョースッ
むきなおっ	動詞,自立,*,*,五段・ラ行,基本縮約,むきなおる,ムキナオッ,ムキナオッ
突き放しゃ	動詞,自立,*,*,五段・サ行,基本縮約,突き放す,ツキハナシャ,ツキハナシャ
引き立てっ	動詞,自立,*,*,一段,基本縮約,引き立てる,ヒキタテッ,ヒキタテッ
やききっ	動詞,自立,*,*,五段・ラ行,基本縮約,やききる,ヤキキッ,ヤキキッ
取上げっ	動詞,自立,*,*,一段,基本縮約,取上げる,トリアゲッ,トリアゲッ
あばれまわっ	動詞,自立,*,*,五段・ラ行,基本縮約,あばれまわる,アバレマワッ,アバレマワッ
きりとれっ	動詞,自立,*,*,一段,基本縮約,きりとれる,キリトレッ,キリトレッ
忍び込めっ	動詞,自立,*,*,一段,基本縮約,忍び込める,シノビコメッ,シノビコメッ
掻っ切っ	動詞,自立,*,*,五段・ラ行,基本縮約,掻っ切る,カッキッ,カッキッ
突き止めっ	動詞,自立,*,*,一段,基本縮約,突き止める,ツキトメッ,ツキトメッ
もえひろがっ	動詞,自立,*,*,五段・ラ行,基本縮約,もえひろがる,モエヒロガッ,モエヒロガッ
ねぼけっ	動詞,自立,*,*,一段,基本縮約,ねぼける,ネボケッ,ネボケッ
むかいあわしゃ	動詞,自立,*,*,五段・サ行,基本縮約,むかいあわす,ムカイアワシャ,ムカイアワシャ
捏ね返しゃ	動詞,自立,*,*,五段・サ行,基本縮約,捏ね返す,コネカエシャ,コネカエシャ
拘わっ	動詞,自立,*,*,五段・ラ行,基本縮約,拘わる,カカワッ,カカワッ
たまわっ	動詞,自立,*,*,五段・ラ行,基本縮約,たまわる,タマワッ,タマワッ
ひっ篭っ	動詞,自立,*,*,五段・ラ行,基本縮約,ひっ篭る,ヒッコモッ,ヒッコモッ
酔いしれっ	動詞,自立,*,*,一段,基本縮約,酔いしれる,ヨイシレッ,ヨイシレッ
とどろきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,とどろく,トドロキャ,トドロキャ
カミつきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,カミつく,カミツキャ,カミツキャ
いいきかせっ	動詞,自立,*,*,一段,基本縮約,いいきかせる,イイキカセッ,イーキカセッ
隔てっ	動詞,自立,*,*,一段,基本縮約,隔てる,ヘダテッ,ヘダテッ
攻あぐみゃ	動詞,自立,*,*,五段・マ行,基本縮約,攻あぐむ,セメアグミャ,セメアグミャ
ハサみゃ	動詞,自立,*,*,五段・マ行,基本縮約,ハサむ,ハサミャ,ハサミャ
かざりたてっ	動詞,自立,*,*,一段,基本縮約,かざりたてる,カザリタテッ,カザリタテッ
呷っ	動詞,自立,*,*,五段・ラ行,基本縮約,呷る,アオッ,アオッ
てわたしゃ	動詞,自立,*,*,五段・サ行,基本縮約,てわたす,テワタシャ,テワタシャ
取もちゃ	動詞,自立,*,*,五段・タ行,基本縮約,取もつ,トリモチャ,トリモチャ
はぎとれっ	動詞,自立,*,*,一段,基本縮約,はぎとれる,ハギトレッ,ハギトレッ
組替えっ	動詞,自立,*,*,一段,基本縮約,組替える,クミカエッ,クミカエッ
寝過しゃ	動詞,自立,*,*,五段・サ行,基本縮約,寝過す,ネスゴシャ,ネスゴシャ
けむっ	動詞,自立,*,*,五段・ラ行,基本縮約,けむる,ケムッ,ケムッ
ゆらせっ	動詞,自立,*,*,一段,基本縮約,ゆらせる,ユラセッ,ユラセッ
畏れ入っ	動詞,自立,*,*,五段・ラ行,基本縮約,畏れ入る,オソレイッ,オソレイッ
歩けっ	動詞,自立,*,*,一段,基本縮約,歩ける,アルケッ,アルケッ
すりつぶしゃ	動詞,自立,*,*,五段・サ行,基本縮約,すりつぶす,スリツブシャ,スリツブシャ
踏めっ	動詞,自立,*,*,一段,基本縮約,踏める,フメッ,フメッ
臆すっ	動詞,自立,*,*,サ変・−スル,基本縮約,臆する,オクスッ,オクスッ
踏み越えっ	動詞,自立,*,*,一段,基本縮約,踏み越える,フミコエッ,フミコエッ
けかえしゃ	動詞,自立,*,*,五段・サ行,基本縮約,けかえす,ケカエシャ,ケカエシャ
疼きゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,疼く,ウズキャ,ウズキャ
語りこめっ	動詞,自立,*,*,一段,基本縮約,語りこめる,カタリコメッ,カタリコメッ
ぬきとれっ	動詞,自立,*,*,一段,基本縮約,ぬきとれる,ヌキトレッ,ヌキトレッ
つけ加えっ	動詞,自立,*,*,一段,基本縮約,つけ加える,ツケクワエッ,ツケクワエッ
なきさけびゃ	動詞,自立,*,*,五段・バ行,基本縮約,なきさけぶ,ナキサケビャ,ナキサケビャ
くじきゃ	動詞,自立,*,*,五段・カ行イ音便,基本縮約,くじく,クジキャ,クジキャ
名指しゃ	動詞,自立,*,*,五段・サ行,基本縮約,名指す,ナザシャ,ナザシャ
しょたいじみっ	動詞,自立,*,*,一段,基本縮約,しょたいじみる,ショタイジミッ,ショタイジミッ
焦がれっ	動詞,自立,*,*,一段,基本縮約,焦がれる,コガレッ,コガレッ
会わしゃ	動詞,自立,*,*,五段・サ行,基本縮約,会わす,アワシャ,アワシャ
坐っ	動詞,自立,*,*,五段・ラ行,基本縮約,坐る,スワッ,スワッ
入れ揚げっ	動詞,自立,*,*,一段,基本縮約,入れ揚げる,イレアゲッ,イレアゲッ
舐めっ	動詞,自立,*,*,一段,基本縮約,舐める,ナメッ,ナメッ
うけながしゃ	動詞,自立,*,*,五段・サ行,基本縮約,うけながす,ウケナガシャ,ウケナガシャ
慈しみゃ	動詞,自立,*,*,五段・マ行,基本縮約,慈しむ,イツクシミャ,イツクシミャ
