とん	動詞,非自立,*,*,五段・ラ行,未然特殊,て＋おる,トン,トン
突き合わさん	動詞,自立,*,*,五段・サ行,未然特殊,突き合わす,ツキアワサン,ツキアワサン
頼まん	動詞,自立,*,*,五段・マ行,未然特殊,頼む,タノマン,タノマン
ゆがまん	動詞,自立,*,*,五段・マ行,未然特殊,ゆがむ,ユガマン,ユガマン
あおまん	動詞,自立,*,*,五段・マ行,未然特殊,あおむ,アオマン,アオマン
玩ばん	動詞,自立,*,*,五段・バ行,未然特殊,玩ぶ,モテアソバン,モテアソバン
ちりいそがん	動詞,自立,*,*,五段・ガ行,未然特殊,ちりいそぐ,チリイソガン,チリイソガン
立ちならばん	動詞,自立,*,*,五段・バ行,未然特殊,立ちならぶ,タチナラバン,タチナラバン
羨まん	動詞,自立,*,*,五段・マ行,未然特殊,羨む,ウラヤマン,ウラヤマン
ふきかえさん	動詞,自立,*,*,五段・サ行,未然特殊,ふきかえす,フキカエサン,フキカエサン
はがん	動詞,自立,*,*,五段・ガ行,未然特殊,はぐ,ハガン,ハガン
みはらさん	動詞,自立,*,*,五段・サ行,未然特殊,みはらす,ミハラサン,ミハラサン
ちぢらさん	動詞,自立,*,*,五段・サ行,未然特殊,ちぢらす,チヂラサン,チジラサン
ひきわたさん	動詞,自立,*,*,五段・サ行,未然特殊,ひきわたす,ヒキワタサン,ヒキワタサン
研がん	動詞,自立,*,*,五段・ガ行,未然特殊,研ぐ,トガン,トガン
萌まん	動詞,自立,*,*,五段・マ行,未然特殊,萌む,メグマン,メグマン
染まん	動詞,自立,*,*,五段・マ行,未然特殊,染む,シマン,シマン
訃がん	動詞,自立,*,*,五段・ガ行,未然特殊,訃ぐ,ツガン,ツガン
ふりやまん	動詞,自立,*,*,五段・マ行,未然特殊,ふりやむ,フリヤマン,フリヤマン
ゆらがん	動詞,自立,*,*,五段・ガ行,未然特殊,ゆらぐ,ユラガン,ユラガン
ようだたん	動詞,自立,*,*,五段・タ行,未然特殊,ようだつ,ヨウダタン,ヨウダタン
またさん	動詞,自立,*,*,五段・サ行,未然特殊,またす,マタサン,マタサン
誘い出さん	動詞,自立,*,*,五段・サ行,未然特殊,誘い出す,サソイダサン,サソイダサン
のりまわさん	動詞,自立,*,*,五段・サ行,未然特殊,のりまわす,ノリマワサン,ノリマワサン
印さん	動詞,自立,*,*,五段・サ行,未然特殊,印す,シルサン,シルサン
わりこまん	動詞,自立,*,*,五段・マ行,未然特殊,わりこむ,ワリコマン,ワリコマン
しくまん	動詞,自立,*,*,五段・マ行,未然特殊,しくむ,シクマン,シクマン
怪しまん	動詞,自立,*,*,五段・マ行,未然特殊,怪しむ,アヤシマン,アヤシマン
証さん	動詞,自立,*,*,五段・サ行,未然特殊,証す,アカサン,アカサン
奏さん	動詞,自立,*,*,五段・サ行,未然特殊,奏す,ソウサ,ソーサ
くるわさん	動詞,自立,*,*,五段・サ行,未然特殊,くるわす,クルワサン,クルワサン
おもいのこさん	動詞,自立,*,*,五段・サ行,未然特殊,おもいのこす,オモイノコサン,オモイノコサン
むち打たん	動詞,自立,*,*,五段・タ行,未然特殊,むち打つ,ムチウタン,ムチウタン
ふししずまん	動詞,自立,*,*,五段・マ行,未然特殊,ふししずむ,フシシズマン,フシシズマン
取り持たん	動詞,自立,*,*,五段・タ行,未然特殊,取り持つ,トリモタン,トリモタン
おもいなさん	動詞,自立,*,*,五段・サ行,未然特殊,おもいなす,オモイナサン,オモイナサン
けさん	動詞,自立,*,*,五段・サ行,未然特殊,けす,ケサン,ケサン
きりくまん	動詞,自立,*,*,五段・マ行,未然特殊,きりくむ,キリクマン,キリクマン
教え諭さん	動詞,自立,*,*,五段・サ行,未然特殊,教え諭す,オシエサトサン,オシエサトサン
聞漏らさん	動詞,自立,*,*,五段・サ行,未然特殊,聞漏らす,キキモラサン,キキモラサン
くださん	動詞,自立,*,*,五段・サ行,未然特殊,くだす,クダサン,クダサン
角立たん	動詞,自立,*,*,五段・タ行,未然特殊,角立つ,カドダタン,カドダタン
ぬきはなたん	動詞,自立,*,*,五段・タ行,未然特殊,ぬきはなつ,ヌキハナタン,ヌキハナタン
化かさん	動詞,自立,*,*,五段・サ行,未然特殊,化かす,バカサン,バカサン
つぎたさん	動詞,自立,*,*,五段・サ行,未然特殊,つぎたす,ツギタサン,ツギタサン
住成さん	動詞,自立,*,*,五段・サ行,未然特殊,住成す,スミナサン,スミナサン
排さん	動詞,自立,*,*,五段・サ行,未然特殊,排す,ハイサン,ハイサン
飲み潰さん	動詞,自立,*,*,五段・サ行,未然特殊,飲み潰す,ノミツブサン,ノミツブサン
参らさん	動詞,自立,*,*,五段・サ行,未然特殊,参らす,マイラサン,マイラサン
住みつばん	動詞,自立,*,*,五段・バ行,未然特殊,住みつぶ,スミツバン,スミツバン
妬まん	動詞,自立,*,*,五段・マ行,未然特殊,妬む,ネタマン,ネタマン
つかいこまん	動詞,自立,*,*,五段・マ行,未然特殊,つかいこむ,ツカイコマン,ツカイコマン
忌まん	動詞,自立,*,*,五段・マ行,未然特殊,忌む,イマン,イマン
蹴落さん	動詞,自立,*,*,五段・サ行,未然特殊,蹴落す,ケオトサン,ケオトサン
明るまん	動詞,自立,*,*,五段・マ行,未然特殊,明るむ,アカルマン,アカルマン
吸いこまん	動詞,自立,*,*,五段・マ行,未然特殊,吸いこむ,スイコマン,スイコマン
討ち果たさん	動詞,自立,*,*,五段・サ行,未然特殊,討ち果たす,ウチハタサン,ウチハタサン
まわさん	動詞,自立,*,*,五段・サ行,未然特殊,まわす,マワサン,マワサン
取り毀さん	動詞,自立,*,*,五段・サ行,未然特殊,取り毀す,トリコワサン,トリコワサン
解明かさん	動詞,自立,*,*,五段・サ行,未然特殊,解明かす,トキアカサン,トキアカサン
加え持たん	動詞,自立,*,*,五段・タ行,未然特殊,加え持つ,クワエモタン,クワエモタン
輝り返さん	動詞,自立,*,*,五段・サ行,未然特殊,輝り返す,テリカエサン,テリカエサン
やっかまん	動詞,自立,*,*,五段・マ行,未然特殊,やっかむ,ヤッカマン,ヤッカマン
のり出さん	動詞,自立,*,*,五段・サ行,未然特殊,のり出す,ノリダサン,ノリダサン
惜しまん	動詞,自立,*,*,五段・マ行,未然特殊,惜しむ,オシマン,オシマン
うかさん	動詞,自立,*,*,五段・サ行,未然特殊,うかす,ウカサン,ウカサン
ききかえさん	動詞,自立,*,*,五段・サ行,未然特殊,ききかえす,キキカエサン,キキカエサン
焼け出さん	動詞,自立,*,*,五段・サ行,未然特殊,焼け出す,ヤケダサン,ヤケダサン
浮腫まん	動詞,自立,*,*,五段・マ行,未然特殊,浮腫む,ムクマン,ムクマン
読通さん	動詞,自立,*,*,五段・サ行,未然特殊,読通す,ヨミトオサ,ヨミトーサ
