とん	動詞,非自立,*,*,五段・ラ行,未然特殊,て＋おる,トン,トン
誤魔化さん	動詞,自立,*,*,五段・サ行,未然特殊,誤魔化す,ゴマカサン,ゴマカサン
あかさん	動詞,自立,*,*,五段・サ行,未然特殊,あかす,アカサン,アカサン
思い起こさん	動詞,自立,*,*,五段・サ行,未然特殊,思い起こす,オモイオコサン,オモイオコサン
目差さん	動詞,自立,*,*,五段・サ行,未然特殊,目差す,メザサン,メザサン
編み込まん	動詞,自立,*,*,五段・マ行,未然特殊,編み込む,アミコマン,アミコマン
たけり立たん	動詞,自立,*,*,五段・タ行,未然特殊,たけり立つ,タケリタタン,タケリタタン
辞さん	動詞,自立,*,*,五段・サ行,未然特殊,辞す,ジサン,ジサン
くみあわさん	動詞,自立,*,*,五段・サ行,未然特殊,くみあわす,クミアワサン,クミアワサン
いいあらわさん	動詞,自立,*,*,五段・サ行,未然特殊,いいあらわす,イイアラワサ,イーアラワサ
剥がさん	動詞,自立,*,*,五段・サ行,未然特殊,剥がす,ヘガサン,ヘガサン
剥がさん	動詞,自立,*,*,五段・サ行,未然特殊,剥がす,ハガサン,ハガサン
そめなおさん	動詞,自立,*,*,五段・サ行,未然特殊,そめなおす,ソメナオサン,ソメナオサン
寫さん	動詞,自立,*,*,五段・サ行,未然特殊,寫す,ウツサン,ウツサン
蒸かさん	動詞,自立,*,*,五段・サ行,未然特殊,蒸かす,フカサン,フカサン
みのがさん	動詞,自立,*,*,五段・サ行,未然特殊,みのがす,ミノガサン,ミノガサン
明け放たん	動詞,自立,*,*,五段・タ行,未然特殊,明け放つ,アケハナタン,アケハナタン
持ち運ばん	動詞,自立,*,*,五段・バ行,未然特殊,持ち運ぶ,モチハコバン,モチハコバン
にらみあわさん	動詞,自立,*,*,五段・サ行,未然特殊,にらみあわす,ニラミアワサン,ニラミアワサン
なだれ込まん	動詞,自立,*,*,五段・マ行,未然特殊,なだれ込む,ナダレコマン,ナダレコマン
散らかさん	動詞,自立,*,*,五段・サ行,未然特殊,散らかす,チラカサン,チラカサン
ほりおこさん	動詞,自立,*,*,五段・サ行,未然特殊,ほりおこす,ホリオコサン,ホリオコサン
切り落とさん	動詞,自立,*,*,五段・サ行,未然特殊,切り落とす,キリオトサン,キリオトサン
生まん	動詞,自立,*,*,五段・マ行,未然特殊,生む,ウマン,ウマン
貢がん	動詞,自立,*,*,五段・ガ行,未然特殊,貢ぐ,ミツガン,ミツガン
あみこまん	動詞,自立,*,*,五段・マ行,未然特殊,あみこむ,アミコマン,アミコマン
外さん	動詞,自立,*,*,五段・サ行,未然特殊,外す,ハズサン,ハズサン
わきおこさん	動詞,自立,*,*,五段・サ行,未然特殊,わきおこす,ワキオコサン,ワキオコサン
きりたたん	動詞,自立,*,*,五段・タ行,未然特殊,きりたつ,キリタタン,キリタタン
乗り合わさん	動詞,自立,*,*,五段・サ行,未然特殊,乗り合わす,ノリアワサン,ノリアワサン
ひそまん	動詞,自立,*,*,五段・マ行,未然特殊,ひそむ,ヒソマン,ヒソマン
賑わさん	動詞,自立,*,*,五段・サ行,未然特殊,賑わす,ニギワサン,ニギワサン
削ぎ落さん	動詞,自立,*,*,五段・サ行,未然特殊,削ぎ落す,ソギオトサン,ソギオトサン
会さん	動詞,自立,*,*,五段・サ行,未然特殊,会す,カイサン,カイサン
しなん	動詞,自立,*,*,五段・ナ行,未然特殊,しぬ,シナン,シナン
いいださん	動詞,自立,*,*,五段・サ行,未然特殊,いいだす,イイダサ,イーダサ
伏拝まん	動詞,自立,*,*,五段・マ行,未然特殊,伏拝む,フシオガマン,フシオガマン
読み下さん	動詞,自立,*,*,五段・サ行,未然特殊,読み下す,ヨミクダサン,ヨミクダサン
ぬらさん	動詞,自立,*,*,五段・サ行,未然特殊,ぬらす,ヌラサン,ヌラサン
染め直さん	動詞,自立,*,*,五段・サ行,未然特殊,染め直す,ソメナオサン,ソメナオサン
仄めかさん	動詞,自立,*,*,五段・サ行,未然特殊,仄めかす,ホノメカサン,ホノメカサン
なみだぐまん	動詞,自立,*,*,五段・マ行,未然特殊,なみだぐむ,ナミダグマン,ナミダグマン
ゆきなやまん	動詞,自立,*,*,五段・マ行,未然特殊,ゆきなやむ,ユキナヤマン,ユキナヤマン
兆さん	動詞,自立,*,*,五段・サ行,未然特殊,兆す,キザサン,キザサン
律さん	動詞,自立,*,*,五段・サ行,未然特殊,律す,リッサン,リッサン
引き降ろさん	動詞,自立,*,*,五段・サ行,未然特殊,引き降ろす,ヒキオロサン,ヒキオロサン
はやり立たん	動詞,自立,*,*,五段・タ行,未然特殊,はやり立つ,ハヤリタタン,ハヤリタタン
売り飛ばさん	動詞,自立,*,*,五段・サ行,未然特殊,売り飛ばす,ウリトバサン,ウリトバサン
引きずり込まん	動詞,自立,*,*,五段・マ行,未然特殊,引きずり込む,ヒキズリコマン,ヒキズリコマン
ほおえまん	動詞,自立,*,*,五段・マ行,未然特殊,ほおえむ,ホオエマ,ホーエマ
乾さん	動詞,自立,*,*,五段・サ行,未然特殊,乾す,ホサン,ホサン
ねざさん	動詞,自立,*,*,五段・サ行,未然特殊,ねざす,ネザサン,ネザサン
掘りださん	動詞,自立,*,*,五段・サ行,未然特殊,掘りだす,ホリダサン,ホリダサン
通わさん	動詞,自立,*,*,五段・サ行,未然特殊,通わす,カヨワサン,カヨワサン
いさみたたん	動詞,自立,*,*,五段・タ行,未然特殊,いさみたつ,イサミタタン,イサミタタン
引っ担がん	動詞,自立,*,*,五段・ガ行,未然特殊,引っ担ぐ,ヒッカツガン,ヒッカツガン
呑まん	動詞,自立,*,*,五段・マ行,未然特殊,呑む,ノマン,ノマン
しださん	動詞,自立,*,*,五段・サ行,未然特殊,しだす,シダサン,シダサン
ふきすさばん	動詞,自立,*,*,五段・バ行,未然特殊,ふきすさぶ,フキスサバン,フキスサバン
みくださん	動詞,自立,*,*,五段・サ行,未然特殊,みくだす,ミクダサン,ミクダサン
さししめさん	動詞,自立,*,*,五段・サ行,未然特殊,さししめす,サシシメサン,サシシメサン
よみこなさん	動詞,自立,*,*,五段・サ行,未然特殊,よみこなす,ヨミコナサン,ヨミコナサン
いそがん	動詞,自立,*,*,五段・ガ行,未然特殊,いそぐ,イソガン,イソガン
振り起さん	動詞,自立,*,*,五段・サ行,未然特殊,振り起す,フリオコサン,フリオコサン
見透かさん	動詞,自立,*,*,五段・サ行,未然特殊,見透かす,ミスカサン,ミスカサン
突刺さん	動詞,自立,*,*,五段・サ行,未然特殊,突刺す,ツキササン,ツキササン
つまん	動詞,自立,*,*,五段・マ行,未然特殊,つむ,ツマン,ツマン
見放さん	動詞,自立,*,*,五段・サ行,未然特殊,見放す,ミハナサン,ミハナサン
食い散らさん	動詞,自立,*,*,五段・サ行,未然特殊,食い散らす,クイチラサン,クイチラサン
歌わさん	動詞,自立,*,*,五段・サ行,未然特殊,歌わす,ウタワサン,ウタワサン
覚まさん	動詞,自立,*,*,五段・サ行,未然特殊,覚ます,サマサン,サマサン
とりはずさん	動詞,自立,*,*,五段・サ行,未然特殊,とりはずす,トリハズサン,トリハズサン
示し合わさん	動詞,自立,*,*,五段・サ行,未然特殊,示し合わす,シメシアワサン,シメシアワサン
植え込まん	動詞,自立,*,*,五段・マ行,未然特殊,植え込む,ウエコマン,ウエコマン
ききださん	動詞,自立,*,*,五段・サ行,未然特殊,ききだす,キキダサン,キキダサン
あばきださん	動詞,自立,*,*,五段・サ行,未然特殊,あばきだす,アバキダサン,アバキダサン
あまやかさん	動詞,自立,*,*,五段・サ行,未然特殊,あまやかす,アマヤカサン,アマヤカサン
のみくださん	動詞,自立,*,*,五段・サ行,未然特殊,のみくだす,ノミクダサン,ノミクダサン
つむがん	動詞,自立,*,*,五段・ガ行,未然特殊,つむぐ,ツムガン,ツムガン
はさまん	動詞,自立,*,*,五段・マ行,未然特殊,はさむ,ハサマン,ハサマン
落とし込まん	動詞,自立,*,*,五段・マ行,未然特殊,落とし込む,オトシコマン,オトシコマン
落くぼまん	動詞,自立,*,*,五段・マ行,未然特殊,落くぼむ,オチクボマン,オチクボマン
呑みつぶさん	動詞,自立,*,*,五段・サ行,未然特殊,呑みつぶす,ノミツブサン,ノミツブサン
降注がん	動詞,自立,*,*,五段・ガ行,未然特殊,降注ぐ,フリソソガン,フリソソガン
とりもたん	動詞,自立,*,*,五段・タ行,未然特殊,とりもつ,トリモタン,トリモタン
遣り返さん	動詞,自立,*,*,五段・サ行,未然特殊,遣り返す,ヤリカエサン,ヤリカエサン
示さん	動詞,自立,*,*,五段・サ行,未然特殊,示す,シメサン,シメサン
はしらさん	動詞,自立,*,*,五段・サ行,未然特殊,はしらす,ハシラサン,ハシラサン
ゆきくらさん	動詞,自立,*,*,五段・サ行,未然特殊,ゆきくらす,ユキクラサン,ユキクラサン
なだれこまん	動詞,自立,*,*,五段・マ行,未然特殊,なだれこむ,ナダレコマン,ナダレコマン
讀まん	動詞,自立,*,*,五段・マ行,未然特殊,讀む,ヨマン,ヨマン
ほろぼさん	動詞,自立,*,*,五段・サ行,未然特殊,ほろぼす,ホロボサン,ホロボサン
臥さん	動詞,自立,*,*,五段・サ行,未然特殊,臥す,フサン,フサン
すごまん	動詞,自立,*,*,五段・マ行,未然特殊,すごむ,スゴマン,スゴマン
威かさん	動詞,自立,*,*,五段・サ行,未然特殊,威かす,オドカサン,オドカサン
親しまん	動詞,自立,*,*,五段・マ行,未然特殊,親しむ,シタシマン,シタシマン
解き明かさん	動詞,自立,*,*,五段・サ行,未然特殊,解き明かす,トキアカサン,トキアカサン
切り苛まん	動詞,自立,*,*,五段・マ行,未然特殊,切り苛む,キリサイナマン,キリサイナマン
ゆるさん	動詞,自立,*,*,五段・サ行,未然特殊,ゆるす,ユルサン,ユルサン
怖気立たん	動詞,自立,*,*,五段・タ行,未然特殊,怖気立つ,オジケダタン,オジケダタン
見晴かさん	動詞,自立,*,*,五段・サ行,未然特殊,見晴かす,ミハルカサン,ミハルカサン
浮かれ出さん	動詞,自立,*,*,五段・サ行,未然特殊,浮かれ出す,ウカレダサン,ウカレダサン
漏らさん	動詞,自立,*,*,五段・サ行,未然特殊,漏らす,モラサン,モラサン
卸さん	動詞,自立,*,*,五段・サ行,未然特殊,卸す,オロサン,オロサン
均さん	動詞,自立,*,*,五段・サ行,未然特殊,均す,ナラサン,ナラサン
つけ廻さん	動詞,自立,*,*,五段・サ行,未然特殊,つけ廻す,ツケマワサン,ツケマワサン
押しつぶさん	動詞,自立,*,*,五段・サ行,未然特殊,押しつぶす,オシツブサン,オシツブサン
ひからさん	動詞,自立,*,*,五段・サ行,未然特殊,ひからす,ヒカラサン,ヒカラサン
思し召さん	動詞,自立,*,*,五段・サ行,未然特殊,思し召す,オボシメサン,オボシメサン
召し出さん	動詞,自立,*,*,五段・サ行,未然特殊,召し出す,メシダサン,メシダサン
奮いたたん	動詞,自立,*,*,五段・タ行,未然特殊,奮いたつ,フルイタタン,フルイタタン
立つくさん	動詞,自立,*,*,五段・サ行,未然特殊,立つくす,タチツクサン,タチツクサン
書き流さん	動詞,自立,*,*,五段・サ行,未然特殊,書き流す,カキナガサン,カキナガサン
切り崩さん	動詞,自立,*,*,五段・サ行,未然特殊,切り崩す,キリクズサン,キリクズサン
起き出さん	動詞,自立,*,*,五段・サ行,未然特殊,起き出す,オキダサン,オキダサン
みこさん	動詞,自立,*,*,五段・サ行,未然特殊,みこす,ミコサン,ミコサン
ふるいおとさん	動詞,自立,*,*,五段・サ行,未然特殊,ふるいおとす,フルイオトサン,フルイオトサン
かじかまん	動詞,自立,*,*,五段・マ行,未然特殊,かじかむ,カジカマン,カジカマン
せがまん	動詞,自立,*,*,五段・マ行,未然特殊,せがむ,セガマン,セガマン
かかさん	動詞,自立,*,*,五段・サ行,未然特殊,かかす,カカサン,カカサン
うつぶさん	動詞,自立,*,*,五段・サ行,未然特殊,うつぶす,ウツブサン,ウツブサン
はやりたたん	動詞,自立,*,*,五段・タ行,未然特殊,はやりたつ,ハヤリタタン,ハヤリタタン
見合わさん	動詞,自立,*,*,五段・サ行,未然特殊,見合わす,ミアワサン,ミアワサン
そめださん	動詞,自立,*,*,五段・サ行,未然特殊,そめだす,ソメダサン,ソメダサン
埋め合さん	動詞,自立,*,*,五段・サ行,未然特殊,埋め合す,ウメアワサン,ウメアワサン
たくしこまん	動詞,自立,*,*,五段・マ行,未然特殊,たくしこむ,タクシコマン,タクシコマン
振り回さん	動詞,自立,*,*,五段・サ行,未然特殊,振り回す,フリマワサン,フリマワサン
脇挟まん	動詞,自立,*,*,五段・マ行,未然特殊,脇挟む,ワキバサマン,ワキバサマン
浮ばん	動詞,自立,*,*,五段・バ行,未然特殊,浮ぶ,ウカバン,ウカバン
やくさん	動詞,自立,*,*,五段・サ行,未然特殊,やくす,ヤクサン,ヤクサン
言渡さん	動詞,自立,*,*,五段・サ行,未然特殊,言渡す,イイワタサ,イーワタサ
仕込まん	動詞,自立,*,*,五段・マ行,未然特殊,仕込む,シコマン,シコマン
造り出さん	動詞,自立,*,*,五段・サ行,未然特殊,造り出す,ツクリダサン,ツクリダサン
ため込まん	動詞,自立,*,*,五段・マ行,未然特殊,ため込む,タメコマン,タメコマン
きおいたたん	動詞,自立,*,*,五段・タ行,未然特殊,きおいたつ,キオイタタン,キオイタタン
いとおしまん	動詞,自立,*,*,五段・マ行,未然特殊,いとおしむ,イトオシマ,イトーシマ
ふりみださん	動詞,自立,*,*,五段・サ行,未然特殊,ふりみだす,フリミダサン,フリミダサン
抱き起こさん	動詞,自立,*,*,五段・サ行,未然特殊,抱き起こす,ダキオコサン,ダキオコサン
行き悩まん	動詞,自立,*,*,五段・マ行,未然特殊,行き悩む,ユキナヤマン,ユキナヤマン
行き悩まん	動詞,自立,*,*,五段・マ行,未然特殊,行き悩む,イキナヤマン,イキナヤマン
やかさん	動詞,自立,*,*,五段・サ行,未然特殊,やかす,ヤカサン,ヤカサン
いいかわさん	動詞,自立,*,*,五段・サ行,未然特殊,いいかわす,イイカワサ,イーカワサ
隣り合わさん	動詞,自立,*,*,五段・サ行,未然特殊,隣り合わす,トナリアワサン,トナリアワサン
悔やまん	動詞,自立,*,*,五段・マ行,未然特殊,悔やむ,クヤマン,クヤマン
探さん	動詞,自立,*,*,五段・サ行,未然特殊,探す,サガサン,サガサン
ころさん	動詞,自立,*,*,五段・サ行,未然特殊,ころす,コロサン,コロサン
嗅ぎ出さん	動詞,自立,*,*,五段・サ行,未然特殊,嗅ぎ出す,カギダサン,カギダサン
ときはなさん	動詞,自立,*,*,五段・サ行,未然特殊,ときはなす,トキハナサン,トキハナサン
刻み込まん	動詞,自立,*,*,五段・マ行,未然特殊,刻み込む,キザミコマン,キザミコマン
荒さん	動詞,自立,*,*,五段・サ行,未然特殊,荒す,アラサン,アラサン
しのびこまん	動詞,自立,*,*,五段・マ行,未然特殊,しのびこむ,シノビコマン,シノビコマン
填め込まん	動詞,自立,*,*,五段・マ行,未然特殊,填め込む,ハメコマン,ハメコマン
うりわたさん	動詞,自立,*,*,五段・サ行,未然特殊,うりわたす,ウリワタサン,ウリワタサン
かいすすまん	動詞,自立,*,*,五段・マ行,未然特殊,かいすすむ,カイススマン,カイススマン
け落とさん	動詞,自立,*,*,五段・サ行,未然特殊,け落とす,ケオトサン,ケオトサン
燃さん	動詞,自立,*,*,五段・サ行,未然特殊,燃す,モサン,モサン
言い交さん	動詞,自立,*,*,五段・サ行,未然特殊,言い交す,イイカワサ,イーカワサ
ふさぎこまん	動詞,自立,*,*,五段・マ行,未然特殊,ふさぎこむ,フサギコマン,フサギコマン
むき出さん	動詞,自立,*,*,五段・サ行,未然特殊,むき出す,ムキダサン,ムキダサン
引き離さん	動詞,自立,*,*,五段・サ行,未然特殊,引き離す,ヒキハナサン,ヒキハナサン
かぎ出さん	動詞,自立,*,*,五段・サ行,未然特殊,かぎ出す,カギダサン,カギダサン
ぼやかさん	動詞,自立,*,*,五段・サ行,未然特殊,ぼやかす,ボヤカサン,ボヤカサン
降らさん	動詞,自立,*,*,五段・サ行,未然特殊,降らす,フラサン,フラサン
ぶっ殺さん	動詞,自立,*,*,五段・サ行,未然特殊,ぶっ殺す,ブットバサン,ブットバサン
産み落さん	動詞,自立,*,*,五段・サ行,未然特殊,産み落す,ウミオトサン,ウミオトサン
出尽くさん	動詞,自立,*,*,五段・サ行,未然特殊,出尽くす,デツクサン,デツクサン
もてはやさん	動詞,自立,*,*,五段・サ行,未然特殊,もてはやす,モテハヤサン,モテハヤサン
救い出さん	動詞,自立,*,*,五段・サ行,未然特殊,救い出す,スクイダサン,スクイダサン
おもてだたん	動詞,自立,*,*,五段・タ行,未然特殊,おもてだつ,オモテダタン,オモテダタン
零さん	動詞,自立,*,*,五段・サ行,未然特殊,零す,コボサン,コボサン
膿まん	動詞,自立,*,*,五段・マ行,未然特殊,膿む,ウマン,ウマン
決込まん	動詞,自立,*,*,五段・マ行,未然特殊,決込む,キメコマン,キメコマン
危惧さん	動詞,自立,*,*,五段・サ行,未然特殊,危惧す,キグサン,キグサン
連立たん	動詞,自立,*,*,五段・タ行,未然特殊,連立つ,ツレダタン,ツレダタン
差越さん	動詞,自立,*,*,五段・サ行,未然特殊,差越す,サシコサン,サシコサン
汲み干さん	動詞,自立,*,*,五段・サ行,未然特殊,汲み干す,クミホサン,クミホサン
つりださん	動詞,自立,*,*,五段・サ行,未然特殊,つりだす,ツリダサン,ツリダサン
たれこまん	動詞,自立,*,*,五段・マ行,未然特殊,たれこむ,タレコマン,タレコマン
とおさん	動詞,自立,*,*,五段・サ行,未然特殊,とおす,トオサ,トーサ
毀さん	動詞,自立,*,*,五段・サ行,未然特殊,毀す,コワサン,コワサン
おびき出さん	動詞,自立,*,*,五段・サ行,未然特殊,おびき出す,オビキダサン,オビキダサン
おっぽりださん	動詞,自立,*,*,五段・サ行,未然特殊,おっぽりだす,オッポリダサン,オッポリダサン
はにかまん	動詞,自立,*,*,五段・マ行,未然特殊,はにかむ,ハニカマン,ハニカマン
いかさん	動詞,自立,*,*,五段・サ行,未然特殊,いかす,イカサン,イカサン
混まん	動詞,自立,*,*,五段・マ行,未然特殊,混む,コマン,コマン
まよいこまん	動詞,自立,*,*,五段・マ行,未然特殊,まよいこむ,マヨイコマン,マヨイコマン
乱れ飛ばん	動詞,自立,*,*,五段・バ行,未然特殊,乱れ飛ぶ,ミダレトバン,ミダレトバン
則さん	動詞,自立,*,*,五段・サ行,未然特殊,則す,ソクサン,ソクサン
焼け死なん	動詞,自立,*,*,五段・ナ行,未然特殊,焼け死ぬ,ヤケシナン,ヤケシナン
浮足立たん	動詞,自立,*,*,五段・タ行,未然特殊,浮足立つ,ウキアシダタン,ウキアシダタン
ならさん	動詞,自立,*,*,五段・サ行,未然特殊,ならす,ナラサン,ナラサン
はさみこまん	動詞,自立,*,*,五段・マ行,未然特殊,はさみこむ,ハサミコマン,ハサミコマン
たっとばん	動詞,自立,*,*,五段・バ行,未然特殊,たっとぶ,タットバン,タットバン
嫉まん	動詞,自立,*,*,五段・マ行,未然特殊,嫉む,ソネマン,ソネマン
乗りはずさん	動詞,自立,*,*,五段・サ行,未然特殊,乗りはずす,ノリハズサン,ノリハズサン
はらまん	動詞,自立,*,*,五段・マ行,未然特殊,はらむ,ハラマン,ハラマン
出食わさん	動詞,自立,*,*,五段・サ行,未然特殊,出食わす,デクワサン,デクワサン
富まん	動詞,自立,*,*,五段・マ行,未然特殊,富む,トマン,トマン
ほつさん	動詞,自立,*,*,五段・サ行,未然特殊,ほつす,ホツサン,ホツサン
くぼまん	動詞,自立,*,*,五段・マ行,未然特殊,くぼむ,クボマン,クボマン
立たん	動詞,自立,*,*,五段・タ行,未然特殊,立つ,タタン,タタン
泣き暮さん	動詞,自立,*,*,五段・サ行,未然特殊,泣き暮す,ナキクラサン,ナキクラサン
受け流さん	動詞,自立,*,*,五段・サ行,未然特殊,受け流す,ウケナガサン,ウケナガサン
ききあわさん	動詞,自立,*,*,五段・サ行,未然特殊,ききあわす,キキアワサン,キキアワサン
擲たん	動詞,自立,*,*,五段・タ行,未然特殊,擲つ,ナゲウタン,ナゲウタン
すべらさん	動詞,自立,*,*,五段・サ行,未然特殊,すべらす,スベラサン,スベラサン
言い古さん	動詞,自立,*,*,五段・サ行,未然特殊,言い古す,イイフルサ,イーフルサ
立直さん	動詞,自立,*,*,五段・サ行,未然特殊,立直す,タテナオサン,タテナオサン
吹かさん	動詞,自立,*,*,五段・サ行,未然特殊,吹かす,フカサン,フカサン
蒸返さん	動詞,自立,*,*,五段・サ行,未然特殊,蒸返す,ムシカエサン,ムシカエサン
踊りあかさん	動詞,自立,*,*,五段・サ行,未然特殊,踊りあかす,オドリアカサン,オドリアカサン
踏みこまん	動詞,自立,*,*,五段・マ行,未然特殊,踏みこむ,フミコマン,フミコマン
頭立たん	動詞,自立,*,*,五段・タ行,未然特殊,頭立つ,カシラダタン,カシラダタン
おびきださん	動詞,自立,*,*,五段・サ行,未然特殊,おびきだす,オビキダサン,オビキダサン
ふくらさん	動詞,自立,*,*,五段・サ行,未然特殊,ふくらす,フクラサン,フクラサン
ねすごさん	動詞,自立,*,*,五段・サ行,未然特殊,ねすごす,ネスゴサン,ネスゴサン
聞き漏らさん	動詞,自立,*,*,五段・サ行,未然特殊,聞き漏らす,キキモラサン,キキモラサン
うつりすまん	動詞,自立,*,*,五段・マ行,未然特殊,うつりすむ,ウツリスマン,ウツリスマン
とびこさん	動詞,自立,*,*,五段・サ行,未然特殊,とびこす,トビコサン,トビコサン
あぐまん	動詞,自立,*,*,五段・マ行,未然特殊,あぐむ,アグマン,アグマン
馴らさん	動詞,自立,*,*,五段・サ行,未然特殊,馴らす,ナラサン,ナラサン
つぎ足さん	動詞,自立,*,*,五段・サ行,未然特殊,つぎ足す,ツギタサン,ツギタサン
賑わわさん	動詞,自立,*,*,五段・サ行,未然特殊,賑わわす,ニギワワサン,ニギワワサン
住み荒らさん	動詞,自立,*,*,五段・サ行,未然特殊,住み荒らす,スミアラサン,スミアラサン
うえこまん	動詞,自立,*,*,五段・マ行,未然特殊,うえこむ,ウエコマン,ウエコマン
泣き込まん	動詞,自立,*,*,五段・マ行,未然特殊,泣き込む,ナキコマン,ナキコマン
すいこまん	動詞,自立,*,*,五段・マ行,未然特殊,すいこむ,スイコマン,スイコマン
思いこまん	動詞,自立,*,*,五段・マ行,未然特殊,思いこむ,オモイコマン,オモイコマン
むけなおさん	動詞,自立,*,*,五段・サ行,未然特殊,むけなおす,ムケナオサン,ムケナオサン
すすばまん	動詞,自立,*,*,五段・マ行,未然特殊,すすばむ,ススバマン,ススバマン
いいくらさん	動詞,自立,*,*,五段・サ行,未然特殊,いいくらす,イイクラサ,イークラサ
はい出さん	動詞,自立,*,*,五段・サ行,未然特殊,はい出す,ハイダサン,ハイダサン
生み出さん	動詞,自立,*,*,五段・サ行,未然特殊,生み出す,ウミダサン,ウミダサン
とりださん	動詞,自立,*,*,五段・サ行,未然特殊,とりだす,トリダサン,トリダサン
ほろばん	動詞,自立,*,*,五段・バ行,未然特殊,ほろぶ,ホロバン,ホロバン
ぶり返さん	動詞,自立,*,*,五段・サ行,未然特殊,ぶり返す,ブリカエサン,ブリカエサン
ひえこまん	動詞,自立,*,*,五段・マ行,未然特殊,ひえこむ,ヒエコマン,ヒエコマン
食いつながん	動詞,自立,*,*,五段・ガ行,未然特殊,食いつなぐ,クイツナガン,クイツナガン
そうけだたん	動詞,自立,*,*,五段・タ行,未然特殊,そうけだつ,ソウケダタ,ソーケダタ
聴き込まん	動詞,自立,*,*,五段・マ行,未然特殊,聴き込む,キキコマン,キキコマン
連れ出さん	動詞,自立,*,*,五段・サ行,未然特殊,連れ出す,ツレダサン,ツレダサン
言いくらさん	動詞,自立,*,*,五段・サ行,未然特殊,言いくらす,イイクラサ,イークラサ
嘆き明かさん	動詞,自立,*,*,五段・サ行,未然特殊,嘆き明かす,ナゲキアカサン,ナゲキアカサン
かさまん	動詞,自立,*,*,五段・マ行,未然特殊,かさむ,カサマン,カサマン
信じ込まん	動詞,自立,*,*,五段・マ行,未然特殊,信じ込む,シンジコマン,シンジコマン
照り返さん	動詞,自立,*,*,五段・サ行,未然特殊,照り返す,テリカエサン,テリカエサン
ゆるがん	動詞,自立,*,*,五段・ガ行,未然特殊,ゆるぐ,ユルガン,ユルガン
みすまさん	動詞,自立,*,*,五段・サ行,未然特殊,みすます,ミスマサン,ミスマサン
吹き返さん	動詞,自立,*,*,五段・サ行,未然特殊,吹き返す,フキカエサン,フキカエサン
かもさん	動詞,自立,*,*,五段・サ行,未然特殊,かもす,カモサン,カモサン
くつろがん	動詞,自立,*,*,五段・ガ行,未然特殊,くつろぐ,クツロガン,クツロガン
ひきださん	動詞,自立,*,*,五段・サ行,未然特殊,ひきだす,ヒキダサン,ヒキダサン
鼻白まん	動詞,自立,*,*,五段・マ行,未然特殊,鼻白む,ハナジロマン,ハナジロマン
かきおろさん	動詞,自立,*,*,五段・サ行,未然特殊,かきおろす,カキオロサン,カキオロサン
とり成さん	動詞,自立,*,*,五段・サ行,未然特殊,とり成す,トリナサン,トリナサン
拐かさん	動詞,自立,*,*,五段・サ行,未然特殊,拐かす,カドワカサン,カドワカサン
さしまわさん	動詞,自立,*,*,五段・サ行,未然特殊,さしまわす,サシマワサン,サシマワサン
呼び交さん	動詞,自立,*,*,五段・サ行,未然特殊,呼び交す,ヨビカワサン,ヨビカワサン
復さん	動詞,自立,*,*,五段・サ行,未然特殊,復す,フクサン,フクサン
酌み交さん	動詞,自立,*,*,五段・サ行,未然特殊,酌み交す,クミカワサン,クミカワサン
聞かさん	動詞,自立,*,*,五段・サ行,未然特殊,聞かす,キカサン,キカサン
みじろがん	動詞,自立,*,*,五段・ガ行,未然特殊,みじろぐ,ミジロガン,ミジロガン
もりあわさん	動詞,自立,*,*,五段・サ行,未然特殊,もりあわす,モリアワサン,モリアワサン
つながん	動詞,自立,*,*,五段・ガ行,未然特殊,つなぐ,ツナガン,ツナガン
漬込まん	動詞,自立,*,*,五段・マ行,未然特殊,漬込む,ツケコマン,ツケコマン
放り込まん	動詞,自立,*,*,五段・マ行,未然特殊,放り込む,ホウリコマ,ホーリコマ
取りはずさん	動詞,自立,*,*,五段・サ行,未然特殊,取りはずす,トリハズサン,トリハズサン
談じ込まん	動詞,自立,*,*,五段・マ行,未然特殊,談じ込む,ダンジコマン,ダンジコマン
言い落さん	動詞,自立,*,*,五段・サ行,未然特殊,言い落す,イイオトサ,イーオトサ
はぐくまん	動詞,自立,*,*,五段・マ行,未然特殊,はぐくむ,ハグクマン,ハグクマン
取り残さん	動詞,自立,*,*,五段・サ行,未然特殊,取り残す,トリノコサン,トリノコサン
見澄まさん	動詞,自立,*,*,五段・サ行,未然特殊,見澄ます,ミスマサン,ミスマサン
取り逃さん	動詞,自立,*,*,五段・サ行,未然特殊,取り逃す,トリニガサン,トリニガサン
じゃらさん	動詞,自立,*,*,五段・サ行,未然特殊,じゃらす,ジャラサン,ジャラサン
濁らさん	動詞,自立,*,*,五段・サ行,未然特殊,濁らす,ニゴラサン,ニゴラサン
聞出さん	動詞,自立,*,*,五段・サ行,未然特殊,聞出す,キキダサン,キキダサン
促さん	動詞,自立,*,*,五段・サ行,未然特殊,促す,ウナガサン,ウナガサン
飲み乾さん	動詞,自立,*,*,五段・サ行,未然特殊,飲み乾す,ノミホサン,ノミホサン
拝み倒さん	動詞,自立,*,*,五段・サ行,未然特殊,拝み倒す,オガミタオサン,オガミタオサン
取り込まん	動詞,自立,*,*,五段・マ行,未然特殊,取り込む,トリコマン,トリコマン
捩じ込まん	動詞,自立,*,*,五段・マ行,未然特殊,捩じ込む,ネジコマン,ネジコマン
