察すん	動詞,自立,*,*,サ変・−スル撥音便,基本形,察する,サッスン,サッスン
ころげおちん	動詞,自立,*,*,一段撥音便,基本形,ころげおちる,コロゲオチン,コロゲオチン
結論づけん	動詞,自立,*,*,一段撥音便,基本形,結論づける,ケツロンヅケン,ケツロンズケン
しばり上げん	動詞,自立,*,*,一段撥音便,基本形,しばり上げる,シバリアゲン,シバリアゲン
ひめん	動詞,自立,*,*,一段撥音便,基本形,ひめる,ヒメン,ヒメン
やじん	動詞,自立,*,*,五段・ラ行撥音便,基本形,やじる,ヤジン,ヤジン
けっすん	動詞,自立,*,*,サ変・−スル撥音便,基本形,けっする,ケッスン,ケッスン
みかぎん	動詞,自立,*,*,五段・ラ行撥音便,基本形,みかぎる,ミカギン,ミカギン
わりあてん	動詞,自立,*,*,一段撥音便,基本形,わりあてる,ワリアテン,ワリアテン
かき立てん	動詞,自立,*,*,一段撥音便,基本形,かき立てる,カキタテン,カキタテン
吸付けん	動詞,自立,*,*,一段撥音便,基本形,吸付ける,スイツケン,スイツケン
ごねん	動詞,自立,*,*,一段撥音便,基本形,ごねる,ゴネン,ゴネン
食さがん	動詞,自立,*,*,五段・ラ行撥音便,基本形,食さがる,クイサガン,クイサガン
休まれん	動詞,自立,*,*,一段撥音便,基本形,休まれる,ヤスマレン,ヤスマレン
動じん	動詞,自立,*,*,一段撥音便,基本形,動じる,ドウジン,ドージン
染まん	動詞,自立,*,*,五段・ラ行撥音便,基本形,染まる,ソマン,ソマン
染め上げん	動詞,自立,*,*,一段撥音便,基本形,染め上げる,ソメアゲン,ソメアゲン
はかれん	動詞,自立,*,*,一段撥音便,基本形,はかれる,ハカレン,ハカレン
光らせん	動詞,自立,*,*,一段撥音便,基本形,光らせる,ヒカラセン,ヒカラセン
挫けん	動詞,自立,*,*,一段撥音便,基本形,挫ける,クジケン,クジケン
燃え移ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,燃え移る,モエウツン,モエウツン
鈍すん	動詞,自立,*,*,サ変・−スル撥音便,基本形,鈍する,ドンスン,ドンスン
ふくれあがん	動詞,自立,*,*,五段・ラ行撥音便,基本形,ふくれあがる,フクレアガン,フクレアガン
ぶんなげん	動詞,自立,*,*,一段撥音便,基本形,ぶんなげる,ブンナゲン,ブンナゲン
うろたえん	動詞,自立,*,*,一段撥音便,基本形,うろたえる,ウロタエン,ウロタエン
燃えん	動詞,自立,*,*,一段撥音便,基本形,燃える,モエン,モエン
推すん	動詞,自立,*,*,サ変・−スル撥音便,基本形,推する,スイスン,スイスン
こぼれおちん	動詞,自立,*,*,一段撥音便,基本形,こぼれおちる,コボレオチン,コボレオチン
祀ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,祀る,マツン,マツン
痛め付けん	動詞,自立,*,*,一段撥音便,基本形,痛め付ける,イタメツケン,イタメツケン
持ちきん	動詞,自立,*,*,五段・ラ行撥音便,基本形,持ちきる,モチキン,モチキン
疑えん	動詞,自立,*,*,一段撥音便,基本形,疑える,ウタガエン,ウタガエン
掻き曇ん	動詞,自立,*,*,五段・ラ行撥音便,基本形,掻き曇る,カキクモン,カキクモン
うばえん	動詞,自立,*,*,一段撥音便,基本形,うばえる,ウバエン,ウバエン
願い出ん	動詞,自立,*,*,一段撥音便,基本形,願い出る,ネガイデン,ネガイデン
落ち延びん	動詞,自立,*,*,一段撥音便,基本形,落ち延びる,オチノビン,オチノビン
辱めん	動詞,自立,*,*,一段撥音便,基本形,辱める,ハズカシメン,ハズカシメン
おったてん	動詞,自立,*,*,一段撥音便,基本形,おったてる,オッタテン,オッタテン
呼び止めん	動詞,自立,*,*,一段撥音便,基本形,呼び止める,ヨビトメン,ヨビトメン
澄みきん	動詞,自立,*,*,五段・ラ行撥音便,基本形,澄みきる,スミキン,スミキン
